latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.119508,112.24978,171.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,24.4,9.70,90
2018-01-02,24.8,23.10,89
2018-01-03,25.2,5.00,90
2018-01-04,24.7,19.90,92
2018-01-05,24.5,13.50,92
2018-01-06,24.5,16.90,90
2018-01-07,24.7,13.90,86
2018-01-08,25.1,7.50,85
2018-01-09,25.5,1.90,86
2018-01-10,24.4,16.90,92
2018-01-11,23.7,12.70,89
2018-01-12,24.7,1.40,78
2018-01-13,26.0,1.50,80
2018-01-14,25.5,2.10,82
2018-01-15,25.2,5.40,80
2018-01-16,25.1,5.00,81
2018-01-17,25.1,14.00,83
2018-01-18,24.9,20.00,86
2018-01-19,24.2,23.10,90
2018-01-20,24.3,16.00,88
2018-01-21,24.3,20.30,88
2018-01-22,25.0,8.00,84
2018-01-23,25.1,9.20,86
2018-01-24,25.0,7.20,87
2018-01-25,24.6,26.00,88
2018-01-26,25.0,14.20,84
2018-01-27,25.6,10.40,83
2018-01-28,25.9,4.00,79
2018-01-29,25.2,19.00,84
2018-01-30,24.6,21.40,85
2018-01-31,25.3,3.70,82
2018-02-01,24.7,25.00,88
2018-02-02,24.2,24.90,89
2018-02-03,24.7,6.20,86
2018-02-04,25.1,16.30,84
2018-02-05,24.7,5.90,89
2018-02-06,24.1,12.50,87
2018-02-07,24.5,19.50,85
2018-02-08,24.0,9.30,89
2018-02-09,24.0,17.60,89
2018-02-10,24.7,1.60,85
2018-02-11,25.3,1.00,82
2018-02-12,25.3,0.90,85
2018-02-13,24.9,4.40,85
2018-02-14,24.9,17.40,86
2018-02-15,24.4,25.50,89
2018-02-16,25.1,3.10,83
2018-02-17,24.9,14.40,85
2018-02-18,25.2,3.00,84
2018-02-19,24.7,5.30,89
2018-02-20,24.8,9.70,86
2018-02-21,25.5,4.10,84
2018-02-22,24.8,13.40,88
2018-02-23,24.9,21.90,88
2018-02-24,24.7,14.90,90
2018-02-25,24.7,12.70,88
2018-02-26,24.7,9.90,88
2018-02-27,25.2,2.10,84
2018-02-28,25.5,2.50,84
2018-03-01,25.5,7.30,82
2018-03-02,25.2,12.00,87
2018-03-03,25.5,4.10,87
2018-03-04,25.1,11.90,89
2018-03-05,25.3,11.40,89
2018-03-06,25.1,14.70,86
2018-03-07,24.4,16.70,92
2018-03-08,24.7,12.80,89
2018-03-09,25.0,3.70,88
2018-03-10,25.5,7.20,85
2018-03-11,25.3,2.90,87
2018-03-12,25.2,3.80,84
2018-03-13,24.9,4.50,85
2018-03-14,24.6,2.00,86
2018-03-15,24.9,2.90,85
2018-03-16,25.2,4.40,85
2018-03-17,24.6,11.60,87
2018-03-18,24.6,5.10,86
2018-03-19,25.0,0.80,84
2018-03-20,25.3,0.00,83
2018-03-21,25.7,0.00,79
2018-03-22,25.2,13.40,83
2018-03-23,25.6,2.20,80
2018-03-24,24.3,10.50,91
2018-03-25,24.6,9.00,89
2018-03-26,25.1,3.30,86
2018-03-27,25.0,2.30,86
2018-03-28,25.1,2.80,87
2018-03-29,25.5,5.10,87
2018-03-30,25.4,8.40,85
2018-03-31,25.5,8.00,84
2018-04-01,25.7,1.40,82
2018-04-02,25.5,1.30,84
2018-04-03,25.2,1.30,86
2018-04-04,24.9,3.10,87
2018-04-05,25.6,1.60,84
2018-04-06,25.5,2.30,86
2018-04-07,25.2,5.50,84
2018-04-08,25.0,9.20,86
2018-04-09,25.4,1.40,83
2018-04-10,25.7,0.50,81
2018-04-11,25.9,1.00,84
2018-04-12,25.7,8.80,86
2018-04-13,26.2,1.20,85
2018-04-14,26.3,1.60,82
2018-04-15,26.1,1.40,83
2018-04-16,25.5,7.90,88
2018-04-17,25.4,12.30,89
2018-04-18,26.0,2.10,84
2018-04-19,25.7,2.40,85
2018-04-20,25.4,14.70,87
2018-04-21,25.8,6.00,85
2018-04-22,25.8,3.90,86
2018-04-23,26.0,6.70,83
2018-04-24,26.1,1.20,81
2018-04-25,25.8,1.20,84
2018-04-26,26.0,1.30,81
2018-04-27,25.4,0.90,82
2018-04-28,25.2,0.40,82
2018-04-29,25.0,0.00,78
2018-04-30,24.9,0.00,76
2018-05-01,24.4,0.00,76
2018-05-02,24.6,0.00,76
2018-05-03,24.5,1.30,78
2018-05-04,25.0,0.00,71
