latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.2056236,112.53807,2.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,26.7,6.00,86
2018-01-02,26.6,18.50,88
2018-01-03,27.0,8.10,88
2018-01-04,26.5,14.00,88
2018-01-05,26.8,0.80,87
2018-01-06,26.8,6.90,86
2018-01-07,25.7,24.40,91
2018-01-08,26.9,2.20,83
2018-01-09,27.1,5.30,86
2018-01-10,26.9,10.90,83
2018-01-11,26.0,16.80,87
2018-01-12,26.4,5.70,81
2018-01-13,27.0,5.80,82
2018-01-14,26.6,7.50,84
2018-01-15,27.4,1.10,80
2018-01-16,26.6,4.90,82
2018-01-17,27.1,7.80,81
2018-01-18,26.2,8.90,86
2018-01-19,26.0,17.50,89
2018-01-20,26.1,29.80,87
2018-01-21,26.5,8.80,84
2018-01-22,26.2,12.80,86
2018-01-23,26.1,9.90,88
2018-01-24,26.4,10.10,88
2018-01-25,26.3,4.20,86
2018-01-26,26.4,10.70,85
2018-01-27,27.1,9.50,83
2018-01-28,26.5,6.20,85
2018-01-29,27.0,2.00,81
2018-01-30,26.7,4.70,80
2018-01-31,26.2,7.90,86
2018-02-01,26.4,9.60,85
2018-02-02,26.1,5.30,87
2018-02-03,26.2,11.40,86
2018-02-04,26.0,16.40,86
2018-02-05,26.0,1.80,86
2018-02-06,25.9,4.20,83
2018-02-07,25.5,12.20,87
2018-02-08,25.0,24.40,90
2018-02-09,25.9,16.20,86
2018-02-10,26.3,4.20,84
2018-02-11,25.9,10.00,87
2018-02-12,26.0,11.30,86
2018-02-13,26.1,11.80,85
2018-02-14,26.6,5.60,83
2018-02-15,26.0,14.20,86
2018-02-16,25.8,5.20,88
2018-02-17,26.8,4.00,83
2018-02-18,27.0,4.50,83
2018-02-19,26.8,2.70,86
2018-02-20,26.5,12.80,88
2018-02-21,26.6,13.90,86
2018-02-22,26.0,28.10,87
2018-02-23,25.8,8.90,89
2018-02-24,25.7,19.10,90
2018-02-25,26.6,4.10,86
2018-02-26,25.9,10.00,88
2018-02-27,26.9,5.20,83
2018-02-28,26.7,2.20,86
2018-03-01,26.4,17.50,88
2018-03-02,26.7,1.80,87
2018-03-03,26.8,7.70,86
2018-03-04,26.9,10.50,85
2018-03-05,26.1,16.00,89
2018-03-06,26.8,1.90,85
2018-03-07,26.3,10.80,88
2018-03-08,26.7,6.80,86
2018-03-09,27.0,11.30,86
2018-03-10,26.9,6.00,85
2018-03-11,26.5,6.10,85
2018-03-12,26.2,4.40,87
2018-03-13,25.7,20.00,89
2018-03-14,27.2,3.50,81
2018-03-15,27.6,3.40,82
2018-03-16,26.5,13.00,85
2018-03-17,25.9,25.30,88
2018-03-18,26.2,8.10,87
2018-03-19,27.1,3.40,85
2018-03-20,28.2,1.20,77
2018-03-21,27.0,2.30,84
2018-03-22,25.9,15.60,87
2018-03-23,27.3,1.10,83
2018-03-24,27.3,7.30,84
2018-03-25,26.8,9.40,83
2018-03-26,27.0,0.50,85
2018-03-27,26.9,4.70,86
2018-03-28,27.5,1.70,80
2018-03-29,28.1,0.20,79
2018-03-30,27.2,4.00,83
