latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.119508,113.173645,245.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,23.9,2.60,90
2018-01-02,24.3,13.20,88
2018-01-03,25.0,11.60,85
2018-01-04,24.7,34.20,88
2018-01-05,24.1,7.80,92
2018-01-06,24.0,25.30,90
2018-01-07,24.1,6.20,88
2018-01-08,25.0,8.20,81
2018-01-09,25.2,1.60,82
2018-01-10,24.1,14.90,90
2018-01-11,23.1,12.50,93
2018-01-12,23.8,0.30,83
2018-01-13,24.2,2.70,81
2018-01-14,24.4,2.70,82
2018-01-15,24.2,1.10,80
2018-01-16,24.5,2.40,82
2018-01-17,24.1,4.80,84
2018-01-18,24.3,2.10,85
2018-01-19,23.6,16.20,90
2018-01-20,23.2,25.90,91
2018-01-21,23.1,3.00,90
2018-01-22,23.9,4.40,87
2018-01-23,23.9,9.20,87
2018-01-24,24.0,1.70,87
2018-01-25,23.5,4.90,89
2018-01-26,24.2,2.50,85
2018-01-27,24.5,2.30,83
2018-01-28,24.9,10.50,85
2018-01-29,24.1,7.80,87
2018-01-30,24.2,3.20,82
2018-01-31,23.9,11.10,85
2018-02-01,22.8,15.80,91
2018-02-02,23.5,7.80,88
2018-02-03,24.2,7.20,86
2018-02-04,24.1,5.40,86
2018-02-05,24.1,3.80,92
2018-02-06,23.6,21.60,90
2018-02-07,23.3,1.70,88
2018-02-08,23.0,6.10,91
2018-02-09,22.9,5.10,92
2018-02-10,23.7,2.50,87
2018-02-11,24.3,1.30,84
2018-02-12,24.2,8.30,85
2018-02-13,24.4,1.40,85
2018-02-14,24.2,1.60,84
2018-02-15,23.2,11.30,90
2018-02-16,23.6,0.50,84
2018-02-17,24.4,0.60,81
2018-02-18,24.8,0.80,83
2018-02-19,24.4,1.50,86
2018-02-20,24.1,11.40,87
2018-02-21,24.7,5.20,84
2018-02-22,24.8,3.80,82
2018-02-23,24.5,8.80,86
2018-02-24,24.0,5.70,89
2018-02-25,23.9,1.40,89
2018-02-26,24.6,1.70,86
2018-02-27,24.7,2.30,84
2018-02-28,25.1,0.90,82
2018-03-01,25.3,0.60,82
2018-03-02,24.5,1.90,89
2018-03-03,25.2,0.80,85
2018-03-04,24.7,2.00,87
2018-03-05,24.9,10.70,86
2018-03-06,24.8,10.60,88
2018-03-07,24.0,4.20,92
2018-03-08,24.3,4.40,88
2018-03-09,24.5,4.10,87
2018-03-10,25.2,0.60,83
2018-03-11,25.0,0.70,83
2018-03-12,24.9,0.60,82
2018-03-13,24.3,35.00,85
2018-03-14,24.1,4.20,85
2018-03-15,24.7,2.70,82
2018-03-16,24.5,3.60,87
2018-03-17,24.5,21.90,82
2018-03-18,25.1,9.40,80
2018-03-19,25.6,0.20,74
2018-03-20,25.0,0.10,80
2018-03-21,24.9,0.70,79
2018-03-22,24.6,5.90,82
2018-03-23,25.7,3.90,76
2018-03-24,24.2,4.50,89
2018-03-25,24.5,5.50,88
2018-03-26,25.1,1.50,79
2018-03-27,24.4,1.00,88
2018-03-28,24.7,0.30,86
2018-03-29,25.3,0.10,85
2018-03-30,24.9,0.60,84
2018-03-31,24.7,2.20,82
2018-04-01,25.3,0.10,78
2018-04-02,25.5,9.90,79
2018-04-03,25.0,2.40,84
2018-04-04,25.7,7.40,70
2018-04-05,25.8,2.90,70
2018-04-06,25.6,1.80,76
2018-04-07,25.5,3.10,77
2018-04-08,25.6,9.50,75
2018-04-09,25.4,11.20,78
2018-04-10,26.0,3.40,69
2018-04-11,25.3,10.20,83
2018-04-12,25.7,5.90,83
2018-04-13,25.9,9.10,79
2018-04-14,26.1,7.60,73
2018-04-15,25.6,3.20,79
2018-04-16,25.6,13.50,81
2018-04-17,25.1,13.00,84
2018-04-18,25.4,5.90,78
2018-04-19,25.3,2.30,79
2018-04-20,25.5,9.30,82
2018-04-21,26.2,1.60,78
2018-04-22,26.2,8.80,80
2018-04-23,25.5,3.30,79
2018-04-24,25.4,1.80,80
2018-04-25,25.1,3.90,80
2018-04-26,25.7,1.10,77
2018-04-27,25.3,2.80,77
2018-04-28,25.3,3.20,74
2018-04-29,24.8,1.60,69
2018-04-30,24.0,3.20,69
2018-05-01,24.2,1.90,70
2018-05-02,24.2,0.00,72
2018-05-03,24.3,0.00,74
2018-05-04,25.0,0.00,62
2018-05-05,25.2,0.30,68
2018-05-06,25.7,0.90,72
2018-05-07,25.7,0.20,71
2018-05-08,25.0,6.00,72
2018-05-09,24.9,0.70,66
2018-05-10,25.2,1.80,74
2018-05-11,25.2,2.50,73
2018-05-12,25.2,2.50,73
2018-05-13,24.9,5.20,76
2018-05-14,25.4,1.20,79
2018-05-15,25.0,3.60,84
2018-05-16,24.9,13.60,82
2018-05-17,24.6,3.00,83
2018-05-18,24.4,5.00,81
2018-05-19,24.5,2.50,80
2018-05-20,24.9,0.60,80
2018-05-21,24.9,17.10,86
2018-05-22,24.9,17.10,86
2018-05-23,24.9,16.40,84
2018-05-24,24.7,18.00,86
2018-05-25,24.8,6.50,85
2018-05-26,24.3,21.40,88
2018-05-27,23.8,46.00,87
2018-05-28,23.7,15.80,86
2018-05-29,23.5,14.20,83
2018-05-30,23.0,0.00,84
2018-05-31,23.0,0.00,82
2018-06-01,22.9,0.00,79
2018-06-02,24.2,0.00,80
2018-06-03,24.5,0.60,83
2018-06-04,24.9,1.20,83
2018-06-05,25.3,0.00,79
2018-06-06,24.3,0.10,88
2018-06-07,24.0,0.00,87
2018-06-08,24.1,3.50,86
2018-06-09,23.8,2.90,84
2018-06-10,24.1,11.00,83
2018-06-11,23.9,20.10,89
2018-06-12,24.0,16.90,86
2018-06-13,23.1,1.30,81
2018-06-14,23.2,3.80,80
2018-06-15,23.2,3.00,81
2018-06-16,23.4,0.20,83
2018-06-17,24.1,0.30,81
2018-06-18,23.7,0.00,82
2018-06-19,23.6,78.00,86
2018-06-20,23.6,30.50,87
2018-06-21,23.5,20.90,88
2018-06-22,23.5,26.40,88
2018-06-23,23.4,33.30,87
2018-06-24,23.6,14.30,88
2018-06-25,23.3,20.10,87
2018-06-26,23.0,12.00,86
2018-06-27,23.0,12.40,88
2018-06-28,22.7,11.90,87
2018-06-29,22.5,19.60,85
2018-06-30,22.4,7.90,86
2018-07-01,22.8,0.50,81
2018-07-02,22.7,0.20,86
2018-07-03,23.1,8.50,84
2018-07-04,22.9,41.00,88
2018-07-05,21.8,17.00,79
2018-07-06,21.8,2.30,79
2018-07-07,22.3,0.70,82
2018-07-08,22.3,4.10,86
2018-07-09,22.6,12.00,83
2018-07-10,22.2,3.60,79
2018-07-11,21.8,7.80,80
2018-07-12,22.0,9.50,87
2018-07-13,22.1,5.40,83
2018-07-14,21.7,13.30,85
2018-07-15,21.1,8.10,80
2018-07-16,21.5,0.10,81
2018-07-17,22.0,3.10,87
2018-07-18,22.5,2.90,86
2018-07-19,23.1,2.40,84
2018-07-20,23.2,0.40,87
2018-07-21,23.2,2.80,88
2018-07-22,23.3,4.60,89
2018-07-23,23.0,21.40,86
2018-07-24,22.5,0.00,80
2018-07-25,21.3,0.00,80
2018-07-26,21.5,0.00,82
2018-07-27,22.1,3.60,84
2018-07-28,22.0,8.80,86
2018-07-29,21.9,0.00,84
2018-07-30,22.6,0.30,86
2018-07-31,22.7,4.10,87
2018-08-01,22.4,11.90,89
2018-08-02,21.4,13.40,80
2018-08-03,20.5,7.50,81
2018-08-04,21.0,3.50,82
2018-08-05,20.1,8.80,86
2018-08-06,20.6,0.60,78
2018-08-07,21.9,3.20,86
2018-08-08,22.5,1.40,86
2018-08-09,23.2,0.70,84
2018-08-10,22.6,12.60,86
2018-08-11,22.0,20.90,89
2018-08-12,22.7,3.40,84
2018-08-13,23.1,0.00,83
2018-08-14,22.9,2.10,85
