latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.627416,111.581635,137.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,26.3,5.60,79
2018-01-02,26.0,2.80,84
2018-01-03,25.8,3.10,85
2018-01-04,25.4,37.40,88
2018-01-05,25.9,2.80,84
2018-01-06,26.2,2.90,81
2018-01-07,25.2,16.70,84
2018-01-08,25.9,7.80,84
2018-01-09,26.1,6.10,84
2018-01-10,25.8,13.20,85
2018-01-11,25.2,2.80,86
2018-01-12,25.5,4.30,80
2018-01-13,25.9,9.70,85
2018-01-14,25.6,4.50,85
2018-01-15,25.9,0.00,79
2018-01-16,25.1,11.00,86
2018-01-17,25.6,6.00,84
2018-01-18,24.9,31.20,89
2018-01-19,25.0,6.40,86
2018-01-20,25.0,14.50,84
2018-01-21,25.5,2.00,79
2018-01-22,24.6,19.90,88
2018-01-23,25.0,14.70,89
2018-01-24,25.2,9.20,87
2018-01-25,25.4,6.80,82
2018-01-26,25.6,5.20,83
2018-01-27,25.8,3.50,85
2018-01-28,25.3,7.00,86
2018-01-29,25.7,4.70,81
2018-01-30,26.0,3.40,80
2018-01-31,25.5,3.20,85
2018-02-01,25.3,23.40,88
2018-02-02,24.9,17.60,89
2018-02-03,24.9,9.40,90
2018-02-04,25.1,9.60,88
2018-02-05,25.0,16.40,86
2018-02-06,24.6,4.20,85
2018-02-07,24.2,29.50,89
2018-02-08,24.0,15.30,92
2018-02-09,24.4,7.20,88
2018-02-10,25.2,0.60,84
2018-02-11,24.9,6.10,88
2018-02-12,24.7,11.70,89
2018-02-13,24.8,0.30,87
2018-02-14,25.3,8.10,85
2018-02-15,24.7,15.70,89
2018-02-16,25.1,4.00,86
2018-02-17,25.6,0.40,83
2018-02-18,26.0,6.20,80
2018-02-19,25.5,20.30,85
2018-02-20,25.3,1.40,87
2018-02-21,25.7,6.90,85
2018-02-22,25.1,24.60,87
2018-02-23,24.5,19.90,90
2018-02-24,25.0,14.20,89
2018-02-25,25.4,10.10,86
2018-02-26,25.2,4.40,87
2018-02-27,25.8,0.80,83
2018-02-28,26.2,1.50,80
2018-03-01,25.3,9.70,88
2018-03-02,26.1,5.20,84
2018-03-03,25.6,9.40,87
2018-03-04,25.8,5.10,84
2018-03-05,25.5,12.10,87
2018-03-06,25.8,3.30,86
2018-03-07,25.5,15.10,89
2018-03-08,25.4,7.60,89
2018-03-09,26.1,11.30,85
2018-03-10,25.8,6.00,84
2018-03-11,25.8,9.00,86
2018-03-12,25.7,5.70,86
2018-03-13,25.3,4.60,85
2018-03-14,26.3,1.00,78
2018-03-15,26.3,0.80,77
2018-03-16,25.7,5.80,83
2018-03-17,24.8,10.30,88
2018-03-18,25.1,0.20,85
2018-03-19,26.2,0.60,78
2018-03-20,26.9,0.00,71
2018-03-21,25.8,1.80,79
2018-03-22,24.7,12.40,89
2018-03-23,26.3,0.00,81
2018-03-24,26.2,0.20,76
2018-03-25,26.5,0.20,78
2018-03-26,26.0,0.40,79
2018-03-27,25.9,4.50,81
2018-03-28,26.6,0.80,76
2018-03-29,27.4,0.10,73
2018-03-30,26.6,0.00,77
2018-03-31,26.4,3.10,81
2018-04-01,26.1,2.60,83
2018-04-02,25.9,4.10,84
2018-04-03,26.5,0.30,80
2018-04-04,26.2,0.90,80
2018-04-05,26.1,0.00,80
2018-04-06,26.5,0.40,82
2018-04-07,25.9,7.30,84
2018-04-08,25.3,6.90,86
2018-04-09,25.6,7.70,83
2018-04-10,26.6,0.00,77
2018-04-11,26.7,0.00,79
2018-04-12,26.7,3.60,80
2018-04-13,27.4,0.20,79
2018-04-14,27.2,0.00,80
2018-04-15,27.5,0.50,77
2018-04-16,27.0,0.10,76
2018-04-17,26.3,8.10,83
2018-04-18,26.2,3.20,82
2018-04-19,26.3,0.80,81
2018-04-20,26.6,4.50,80
2018-04-21,26.5,3.90,81
2018-04-22,26.8,2.80,80
