latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.260105,112.67352,369.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,23.1,28.20,95
2018-01-02,23.6,38.30,93
2018-01-03,24.1,21.80,91
2018-01-04,23.8,28.40,94
2018-01-05,23.6,14.90,94
2018-01-06,23.3,12.80,95
2018-01-07,23.1,20.60,93
2018-01-08,23.9,4.40,88
2018-01-09,24.0,17.80,90
2018-01-10,23.3,27.00,95
2018-01-11,22.6,21.80,96
2018-01-12,23.5,0.90,81
2018-01-13,24.1,6.90,80
2018-01-14,23.8,3.00,86
2018-01-15,24.0,4.60,85
2018-01-16,23.7,2.60,85
2018-01-17,23.9,2.00,85
2018-01-18,23.8,16.60,91
2018-01-19,22.8,18.10,95
2018-01-20,22.9,31.10,93
2018-01-21,22.9,18.10,92
2018-01-22,23.5,12.70,91
2018-01-23,23.7,8.10,90
2018-01-24,23.6,20.90,91
2018-01-25,23.2,33.90,94
2018-01-26,23.7,21.90,89
2018-01-27,24.3,5.50,86
2018-01-28,24.9,1.40,83
2018-01-29,24.2,18.20,86
2018-01-30,23.6,8.30,88
2018-01-31,24.1,2.80,85
2018-02-01,23.2,16.10,94
2018-02-02,23.4,9.10,92
2018-02-03,23.8,25.10,89
2018-02-04,23.9,1.50,86
2018-02-05,23.7,6.70,91
2018-02-06,22.9,14.80,93
2018-02-07,23.2,25.70,91
2018-02-08,22.7,28.40,95
2018-02-09,22.6,1.90,93
2018-02-10,23.6,2.60,87
2018-02-11,23.7,10.10,88
2018-02-12,24.0,0.80,88
2018-02-13,23.7,16.60,90
2018-02-14,23.8,15.10,89
2018-02-15,23.1,23.40,94
2018-02-16,23.8,2.60,86
2018-02-17,23.8,12.60,88
2018-02-18,24.4,3.30,86
2018-02-19,24.0,9.90,92
2018-02-20,23.7,12.00,93
2018-02-21,24.3,7.80,88
2018-02-22,23.7,22.50,94
2018-02-23,23.6,17.40,92
2018-02-24,23.6,15.90,92
2018-02-25,23.3,12.90,93
2018-02-26,23.2,7.90,93
2018-02-27,23.7,4.10,88
2018-02-28,24.0,4.30,89
2018-03-01,24.2,0.90,85
2018-03-02,23.8,17.50,91
2018-03-03,24.3,4.40,91
2018-03-04,24.2,16.70,92
2018-03-05,24.1,10.60,92
2018-03-06,24.0,21.50,92
2018-03-07,23.5,14.90,97
2018-03-08,23.6,21.90,93
2018-03-09,24.1,5.90,93
2018-03-10,24.3,5.70,90
