latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.486819,112.53821,23.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,26.4,3.50,88
2018-01-02,26.5,8.60,90
2018-01-03,27.2,7.20,87
2018-01-04,26.3,19.80,90
2018-01-05,26.8,16.00,88
2018-01-06,26.9,4.50,85
2018-01-07,25.2,20.50,93
2018-01-08,26.3,12.00,91
2018-01-09,27.0,13.10,88
2018-01-10,26.8,8.60,85
2018-01-11,25.6,2.80,89
2018-01-12,26.7,0.60,80
2018-01-13,26.9,6.40,79
2018-01-14,26.5,4.50,85
2018-01-15,27.0,2.80,85
2018-01-16,26.6,3.40,80
2018-01-17,26.9,9.10,79
2018-01-18,26.1,22.80,87
2018-01-19,25.6,16.10,91
2018-01-20,25.8,2.90,89
2018-01-21,25.9,4.90,85
2018-01-22,26.0,15.00,86
2018-01-23,26.1,4.50,88
2018-01-24,26.3,10.40,89
2018-01-25,26.4,16.90,84
2018-01-26,26.5,11.90,82
2018-01-27,27.2,7.10,81
2018-01-28,26.4,9.80,84
2018-01-29,26.9,2.50,82
2018-01-30,27.2,7.30,78
2018-01-31,26.4,2.30,84
2018-02-01,26.2,5.60,85
2018-02-02,26.1,8.50,87
2018-02-03,26.0,7.00,86
2018-02-04,26.1,7.10,88
2018-02-05,25.6,2.30,90
2018-02-06,25.8,9.00,86
2018-02-07,25.9,14.10,85
2018-02-08,24.8,17.60,93
2018-02-09,25.5,5.80,89
2018-02-10,26.2,2.70,86
2018-02-11,25.9,8.00,89
2018-02-12,26.0,1.90,85
2018-02-13,26.0,6.90,86
2018-02-14,26.7,0.30,83
2018-02-15,26.0,14.40,87
2018-02-16,25.9,4.10,88
2018-02-17,26.8,6.20,84
2018-02-18,27.2,1.80,82
2018-02-19,26.5,14.00,87
2018-02-20,26.6,11.10,88
2018-02-21,26.5,12.00,90
2018-02-22,25.7,23.10,93
2018-02-23,25.9,13.80,91
2018-02-24,25.3,20.90,93
2018-02-25,26.3,10.10,89
2018-02-26,25.9,1.80,89
2018-02-27,26.8,5.40,85
2018-02-28,26.5,15.50,88
2018-03-01,26.1,17.70,90
2018-03-02,26.4,6.00,89
2018-03-03,26.4,5.40,89
2018-03-04,26.5,9.60,88
2018-03-05,25.7,11.40,93
2018-03-06,26.9,5.70,87
2018-03-07,26.2,13.80,92
2018-03-08,26.5,10.70,88
2018-03-09,27.0,4.80,85
2018-03-10,26.9,3.10,87
2018-03-11,26.4,13.30,90
2018-03-12,26.2,2.40,89
2018-03-13,25.5,18.70,93
2018-03-14,27.2,0.60,80
2018-03-15,27.6,1.10,79
2018-03-16,26.4,27.10,88
2018-03-17,25.6,34.90,92
2018-03-18,26.1,14.60,88
2018-03-19,27.3,0.60,81
2018-03-20,28.2,0.00,77
2018-03-21,27.0,0.40,84
2018-03-22,25.8,12.80,89
2018-03-23,27.2,10.70,85
2018-03-24,27.2,1.40,82
2018-03-25,26.8,9.50,83
2018-03-26,26.9,6.70,86
2018-03-27,26.9,7.60,87
2018-03-28,27.6,2.50,79
2018-03-29,28.0,1.20,78
2018-03-30,27.1,0.70,82
2018-03-31,27.1,1.00,85
2018-04-01,27.2,7.80,86
2018-04-02,26.7,6.50,88
2018-04-03,27.2,3.20,84
2018-04-04,27.8,0.20,80
2018-04-05,28.1,0.20,77
2018-04-06,28.0,0.80,78
2018-04-07,26.9,2.60,85
2018-04-08,26.4,8.70,86
2018-04-09,27.6,1.60,79
2018-04-10,28.1,0.00,72
2018-04-11,28.6,0.10,74
2018-04-12,27.9,0.80,81
2018-04-13,28.6,2.20,78
2018-04-14,28.9,0.20,74
2018-04-15,28.9,0.10,74
2018-04-16,28.3,2.10,80
2018-04-17,27.5,5.60,86
2018-04-18,27.3,7.90,87
2018-04-19,27.9,2.00,81
2018-04-20,28.0,1.50,80
2018-04-21,27.6,0.60,84
2018-04-22,27.6,24.60,83
2018-04-23,27.6,1.80,82
2018-04-24,28.2,1.00,76
2018-04-25,28.4,0.40,73
2018-04-26,28.0,0.50,74
2018-04-27,28.5,0.00,70
2018-04-28,28.4,0.90,69
2018-04-29,28.3,0.00,67
2018-04-30,28.2,0.00,62
2018-05-01,28.4,0.00,63
2018-05-02,28.2,0.00,65
2018-05-03,28.3,0.00,61
2018-05-04,28.4,0.00,63
2018-05-05,28.5,0.00,62
2018-05-06,29.4,0.00,59
2018-05-07,29.0,0.00,66
2018-05-08,29.3,0.00,64
2018-05-09,29.0,0.00,61
2018-05-10,28.5,0.00,62
2018-05-11,29.0,0.30,62
2018-05-12,29.4,0.00,62
2018-05-13,29.3,0.00,62
2018-05-14,29.0,0.00,69
2018-05-15,29.3,1.30,67
2018-05-16,29.1,0.20,73
2018-05-17,28.9,2.30,74
2018-05-18,28.8,0.10,70
2018-05-19,29.0,0.60,67
2018-05-20,29.1,0.00,66
2018-05-21,29.1,0.00,67
2018-05-22,29.3,0.20,68
2018-05-23,29.1,1.00,69
2018-05-24,28.9,2.30,72
2018-05-25,29.2,0.40,69
2018-05-26,29.2,0.00,71
2018-05-27,29.8,0.00,63
2018-05-28,29.9,0.00,61
2018-05-29,29.9,0.00,59
2018-05-30,29.1,0.00,61
2018-05-31,29.0,0.00,58
2018-06-01,28.8,0.10,59
2018-06-02,29.3,0.00,58
2018-06-03,29.3,0.00,61
2018-06-04,28.9,0.00,66
2018-06-05,29.2,0.10,62
2018-06-06,29.5,0.20,60
2018-06-07,29.6,0.00,64
2018-06-08,29.5,0.00,64
2018-06-09,29.2,0.00,62
2018-06-10,29.0,0.00,62
2018-06-11,29.4,0.00,64
2018-06-12,29.7,0.40,62
2018-06-13,28.9,1.30,65
2018-06-14,28.9,0.00,55
2018-06-15,28.2,0.00,60
2018-06-16,28.0,0.00,61
2018-06-17,28.3,0.00,63
2018-06-18,28.4,0.00,56
2018-06-19,28.8,0.00,64
2018-06-20,28.2,1.80,72
2018-06-21,26.5,7.80,87
2018-06-22,28.6,0.00,69
2018-06-23,28.6,0.10,69
2018-06-24,28.4,0.00,70
2018-06-25,28.6,0.20,67
2018-06-26,28.4,0.50,67
2018-06-27,28.7,0.00,60
2018-06-28,28.9,0.20,60
2018-06-29,28.5,0.00,60
2018-06-30,28.7,0.10,60
2018-07-01,28.1,0.00,63
2018-07-02,28.4,0.00,53
2018-07-03,28.5,0.00,61
2018-07-04,28.9,1.90,61
2018-07-05,27.9,0.20,52
2018-07-06,27.3,0.00,54
2018-07-07,27.8,0.00,61
2018-07-08,27.8,0.00,61
2018-07-09,28.3,0.00,60
2018-07-10,28.2,0.00,59
2018-07-11,27.8,0.00,59
2018-07-12,28.0,0.00,57
2018-07-13,27.7,0.10,60
2018-07-14,28.3,0.00,56
2018-07-15,28.1,0.00,56
2018-07-16,27.7,0.00,58
2018-07-17,27.9,0.00,62
2018-07-18,28.2,0.00,63
2018-07-19,28.4,0.00,63
2018-07-20,28.3,0.00,62
2018-07-21,28.2,0.00,64
2018-07-22,29.1,0.10,64
2018-07-23,29.2,0.20,62
2018-07-24,28.3,0.00,60
2018-07-25,27.5,0.00,59
2018-07-26,27.5,0.00,58
2018-07-27,27.9,0.00,61
2018-07-28,28.5,0.00,60
2018-07-29,28.6,0.00,59
2018-07-30,28.5,0.00,60
2018-07-31,28.4,0.00,60
2018-08-01,28.9,0.00,60
2018-08-02,28.1,0.00,54
2018-08-03,26.8,0.00,50
2018-08-04,26.9,0.00,51
2018-08-05,26.6,0.00,54
2018-08-06,27.1,0.00,55
2018-08-07,27.4,0.00,57
2018-08-08,27.9,0.00,60
2018-08-09,28.7,0.00,59
2018-08-10,28.6,0.00,60
2018-08-11,29.1,0.00,58
2018-08-12,28.6,0.00,60
2018-08-13,28.3,0.00,62
2018-08-14,27.7,0.00,64
2018-08-15,27.7,0.00,61
2018-08-16,27.3,0.00,50
2018-08-17,27.2,0.00,52
2018-08-18,26.8,0.00,60
2018-08-19,27.5,0.00,60
2018-08-20,28.1,0.00,60
2018-08-21,28.4,0.10,63
2018-08-22,28.6,0.00,60
