latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.627416,111.88776,57.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,25.7,1.50,83
2018-01-02,26.0,0.20,85
2018-01-03,26.5,4.90,86
2018-01-04,25.8,6.60,90
2018-01-05,25.9,1.00,86
2018-01-06,25.8,1.10,88
2018-01-07,25.2,24.60,89
2018-01-08,26.5,3.60,84
2018-01-09,26.6,7.30,85
2018-01-10,25.6,4.80,89
2018-01-11,25.1,9.10,91
2018-01-12,24.8,4.80,88
2018-01-13,26.5,7.60,83
2018-01-14,26.3,2.50,83
2018-01-15,26.8,0.20,79
2018-01-16,25.9,3.20,84
2018-01-17,26.3,1.60,83
2018-01-18,25.4,21.70,89
2018-01-19,25.2,3.90,91
2018-01-20,24.8,30.50,93
2018-01-21,25.0,4.50,89
2018-01-22,25.3,10.70,87
2018-01-23,25.8,3.20,88
2018-01-24,25.6,8.60,89
2018-01-25,25.4,9.10,91
2018-01-26,25.7,10.50,88
2018-01-27,26.4,2.90,84
2018-01-28,25.9,3.30,85
2018-01-29,26.3,1.70,84
2018-01-30,25.9,2.50,84
2018-01-31,26.1,2.70,86
2018-02-01,25.5,8.80,89
2018-02-02,25.4,5.50,90
2018-02-03,25.2,16.30,90
2018-02-04,25.5,11.30,88
2018-02-05,24.7,3.70,92
2018-02-06,25.0,4.00,89
2018-02-07,25.0,21.00,89
2018-02-08,24.9,19.10,91
2018-02-09,24.7,11.50,93
2018-02-10,25.5,4.70,87
2018-02-11,25.3,20.70,88
2018-02-12,25.5,8.20,87
2018-02-13,25.5,5.60,87
2018-02-14,26.0,2.50,86
2018-02-15,25.2,16.30,89
2018-02-16,25.9,5.10,86
2018-02-17,26.3,3.70,84
2018-02-18,26.2,4.70,84
2018-02-19,25.7,17.00,88
2018-02-20,25.8,12.70,87
2018-02-21,25.8,15.10,89
2018-02-22,25.2,28.10,89
2018-02-23,25.2,25.80,90
2018-02-24,25.1,6.70,91
2018-02-25,25.1,4.10,89
2018-02-26,25.3,0.80,85
2018-02-27,26.2,0.40,82
2018-02-28,26.4,1.00,84
2018-03-01,26.0,3.80,85
2018-03-02,26.1,1.50,86
2018-03-03,26.0,11.10,87
2018-03-04,26.0,6.40,87
2018-03-05,25.8,8.40,90
2018-03-06,26.3,1.40,86
2018-03-07,25.6,7.80,89
2018-03-08,25.9,2.90,87
2018-03-09,26.1,10.10,87
2018-03-10,26.2,10.90,86
2018-03-11,25.8,5.60,88
2018-03-12,25.7,2.90,88
2018-03-13,25.4,6.30,88
2018-03-14,26.1,1.20,82
2018-03-15,26.2,0.70,79
2018-03-16,25.8,2.00,84
2018-03-17,25.3,8.80,90
2018-03-18,25.6,5.00,85
2018-03-19,26.5,0.20,80
2018-03-20,26.7,0.00,76
2018-03-21,26.5,2.00,81
2018-03-22,25.3,11.80,89
2018-03-23,26.4,0.30,84
2018-03-24,25.8,0.40,84
2018-03-25,26.1,0.00,82
2018-03-26,26.1,0.60,82
2018-03-27,26.1,0.20,84
2018-03-28,26.2,0.20,80
2018-03-29,26.6,0.00,79
2018-03-30,26.6,2.30,83
2018-03-31,26.6,1.40,85
2018-04-01,26.7,5.00,82
