latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.189806,111.11301,8.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,26.1,12.70,89
2018-01-02,25.9,3.00,88
2018-01-03,26.7,4.90,86
2018-01-04,26.0,24.70,90
2018-01-05,25.6,22.80,90
2018-01-06,26.0,11.10,88
2018-01-07,26.2,8.50,85
2018-01-08,26.5,15.60,86
2018-01-09,26.7,3.80,86
2018-01-10,25.9,21.10,90
2018-01-11,26.3,6.80,84
2018-01-12,26.2,12.20,83
2018-01-13,27.0,11.90,80
2018-01-14,26.7,3.40,82
2018-01-15,26.8,0.70,80
2018-01-16,26.0,1.90,85
2018-01-17,26.8,1.50,82
2018-01-18,26.3,8.10,86
2018-01-19,25.4,15.40,91
2018-01-20,25.0,50.00,91
2018-01-21,25.0,40.00,91
2018-01-22,25.6,15.20,89
2018-01-23,26.1,11.20,86
2018-01-24,26.4,6.00,85
2018-01-25,25.3,19.50,91
2018-01-26,26.0,11.90,87
2018-01-27,27.0,2.00,82
2018-01-28,26.7,12.80,83
2018-01-29,25.8,4.20,87
2018-01-30,25.9,4.10,86
2018-01-31,26.5,4.30,82
2018-02-01,25.7,12.80,88
2018-02-02,26.0,15.30,87
2018-02-03,26.1,14.90,87
2018-02-04,26.6,5.60,83
2018-02-05,25.7,4.10,87
2018-02-06,25.8,8.10,85
2018-02-07,25.5,7.50,86
2018-02-08,25.6,15.00,87
2018-02-09,25.5,10.70,88
2018-02-10,26.4,2.40,83
2018-02-11,26.3,7.20,84
2018-02-12,26.4,3.80,85
2018-02-13,26.3,3.60,85
2018-02-14,26.0,8.70,86
2018-02-15,25.5,16.70,90
2018-02-16,26.4,0.80,83
2018-02-17,26.7,2.80,83
2018-02-18,26.6,1.60,86
2018-02-19,26.1,10.60,89
2018-02-20,26.2,4.40,87
2018-02-21,26.7,2.20,86
2018-02-22,26.1,4.10,87
2018-02-23,26.1,17.20,88
2018-02-24,25.9,10.10,88
2018-02-25,26.0,6.30,89
2018-02-26,25.9,7.00,90
