latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.135325,113.508026,15.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,26.0,11.60,88
2018-01-02,25.9,19.60,90
2018-01-03,26.5,1.30,88
2018-01-04,25.9,18.10,89
2018-01-05,25.8,19.10,90
2018-01-06,26.0,13.00,90
2018-01-07,25.2,17.40,91
2018-01-08,26.2,10.40,87
2018-01-09,26.2,16.90,89
2018-01-10,26.3,16.80,85
2018-01-11,25.1,12.70,91
2018-01-12,26.1,1.20,79
2018-01-13,26.9,3.00,81
2018-01-14,25.9,6.90,87
2018-01-15,26.2,3.90,85
2018-01-16,26.4,1.90,82
2018-01-17,26.0,1.60,86
2018-01-18,25.8,19.30,88
2018-01-19,25.1,17.50,92
2018-01-20,25.4,20.70,88
2018-01-21,25.1,14.20,90
2018-01-22,25.7,11.20,87
2018-01-23,25.7,7.10,88
2018-01-24,25.9,11.70,89
2018-01-25,26.1,11.20,86
2018-01-26,26.6,6.30,81
2018-01-27,27.1,1.00,81
2018-01-28,26.5,3.40,83
2018-01-29,27.1,1.40,78
2018-01-30,26.8,1.60,79
2018-01-31,26.1,0.70,84
2018-02-01,26.3,3.30,86
2018-02-02,25.8,9.80,87
2018-02-03,26.0,9.10,86
2018-02-04,26.0,9.10,86
2018-02-05,25.4,25.70,90
2018-02-06,26.3,0.00,79
2018-02-07,25.5,9.70,85
2018-02-08,24.8,25.50,91
2018-02-09,25.2,22.20,90
2018-02-10,25.6,4.50,88
2018-02-11,25.1,17.70,90
2018-02-12,25.6,6.50,87
2018-02-13,26.0,4.10,84
2018-02-14,26.5,8.30,82
2018-02-15,25.7,9.10,86
2018-02-16,26.0,2.70,85
2018-02-17,27.0,1.00,81
2018-02-18,26.8,3.40,83
2018-02-19,26.2,16.30,88
2018-02-20,25.8,16.50,89
2018-02-21,26.0,9.60,88
2018-02-22,25.7,19.90,88
2018-02-23,25.3,15.40,89
2018-02-24,24.9,31.00,91
2018-02-25,26.1,0.00,84
2018-02-26,25.6,10.80,88
2018-02-27,26.2,0.70,84
2018-02-28,26.1,17.20,87
2018-03-01,25.6,13.50,88
2018-03-02,26.0,10.30,87
2018-03-03,26.0,11.50,89
2018-03-04,26.1,13.40,88
2018-03-05,25.7,15.40,89
2018-03-06,26.4,7.50,88
2018-03-07,25.6,10.10,90
2018-03-08,25.7,13.70,88
2018-03-09,26.5,6.20,85
2018-03-10,26.0,13.10,88
2018-03-11,25.5,3.50,91
2018-03-12,25.3,37.30,92
2018-03-13,24.9,28.30,93
2018-03-14,26.0,1.30,85
2018-03-15,26.6,0.00,82
2018-03-16,26.1,9.40,88
2018-03-17,25.3,16.00,90
2018-03-18,25.5,26.60,88
2018-03-19,26.4,1.00,84
2018-03-20,27.4,0.10,80
2018-03-21,26.5,9.10,85
2018-03-22,25.3,12.00,89
2018-03-23,26.8,0.00,81
2018-03-24,27.1,3.40,81
2018-03-25,26.5,4.00,84
2018-03-26,26.4,0.80,85
2018-03-27,26.6,1.30,85
2018-03-28,27.2,0.90,79
2018-03-29,27.4,1.00,80
2018-03-30,26.5,13.20,86
2018-03-31,26.5,11.40,86
2018-04-01,26.7,4.90,85
2018-04-02,26.3,9.70,87
2018-04-03,26.7,4.10,85
2018-04-04,27.0,0.50,82
2018-04-05,27.6,0.00,80
2018-04-06,27.6,1.50,81
2018-04-07,26.5,2.30,85
2018-04-08,26.0,11.20,87
2018-04-09,27.0,0.80,82
2018-04-10,27.9,0.30,78
2018-04-11,28.1,0.00,79
2018-04-12,27.5,0.60,84
2018-04-13,28.0,0.90,82
2018-04-14,27.9,1.10,83
2018-04-15,28.2,0.00,79
2018-04-16,27.8,0.50,82
2018-04-17,27.0,3.90,84
2018-04-18,27.1,1.10,83
2018-04-19,27.6,0.60,79
2018-04-20,27.2,2.30,83
2018-04-21,27.3,1.20,83
2018-04-22,27.0,3.70,86
2018-04-23,27.2,0.90,85
2018-04-24,28.0,0.40,80
2018-04-25,27.6,0.20,79
2018-04-26,26.9,2.30,82
2018-04-27,27.9,0.00,77
2018-04-28,28.0,0.00,75
2018-04-29,27.8,0.00,69
2018-04-30,27.9,0.00,70
2018-05-01,27.4,0.30,74
2018-05-02,27.0,0.00,71
2018-05-03,27.3,0.10,71
2018-05-04,27.4,0.00,73
2018-05-05,27.8,0.00,72
2018-05-06,28.0,0.40,76
2018-05-07,28.1,0.00,76
2018-05-08,27.9,0.00,73
