latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.768014,112.84498,234.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,24.3,2.30,82
2018-01-02,24.2,5.80,91
2018-01-03,24.5,21.30,88
2018-01-04,24.6,8.70,87
2018-01-05,24.7,2.70,84
2018-01-06,24.7,0.90,81
2018-01-07,23.6,3.60,88
2018-01-08,24.9,0.90,82
2018-01-09,24.6,3.90,88
2018-01-10,25.0,0.50,79
2018-01-11,24.7,5.30,73
2018-01-12,25.5,0.20,66
2018-01-13,24.8,0.30,72
2018-01-14,25.1,0.30,75
2018-01-15,25.0,0.90,73
2018-01-16,24.9,1.00,71
2018-01-17,25.0,0.90,73
2018-01-18,24.2,10.40,85
2018-01-19,24.6,0.40,79
2018-01-20,24.5,1.20,77
2018-01-21,24.4,4.60,79
2018-01-22,24.2,4.00,80
2018-01-23,24.3,0.80,81
2018-01-24,24.7,3.90,79
2018-01-25,25.7,3.40,70
2018-01-26,25.7,3.60,71
2018-01-27,25.8,0.10,69
2018-01-28,24.7,20.80,83
2018-01-29,26.0,0.30,70
2018-01-30,25.9,0.90,68
2018-01-31,25.2,10.60,77
2018-02-01,24.7,11.30,79
2018-02-02,24.1,5.30,84
2018-02-03,24.3,30.60,81
2018-02-04,24.3,18.60,84
2018-02-05,24.7,0.50,73
2018-02-06,24.9,0.40,68
2018-02-07,24.0,10.10,79
2018-02-08,23.3,2.60,87
2018-02-09,23.7,1.70,84
2018-02-10,24.0,0.70,85
2018-02-11,23.7,7.10,88
2018-02-12,24.2,2.30,83
2018-02-13,24.9,0.00,74
2018-02-14,25.5,0.10,70
2018-02-15,24.9,6.40,75
2018-02-16,25.0,0.10,74
2018-02-17,25.0,0.00,72
2018-02-18,25.0,0.70,76
2018-02-19,24.2,7.00,85
2018-02-20,24.4,18.50,86
2018-02-21,24.5,12.00,86
2018-02-22,24.0,12.70,90
2018-02-23,23.9,0.60,89
2018-02-24,23.6,23.00,92
