latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.8383126,113.32481,133.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,26.2,3.80,84
2018-01-02,26.0,2.10,86
2018-01-03,26.3,15.60,84
2018-01-04,26.1,1.90,86
2018-01-05,26.2,9.50,87
2018-01-06,26.2,6.40,85
2018-01-07,24.9,23.80,88
2018-01-08,25.9,7.90,85
2018-01-09,26.1,1.30,85
2018-01-10,26.4,8.70,84
2018-01-11,25.5,26.40,89
2018-01-12,25.6,23.50,87
2018-01-13,26.0,2.50,83
2018-01-14,25.3,10.50,88
2018-01-15,25.7,21.30,84
2018-01-16,25.9,11.90,82
2018-01-17,26.2,11.50,81
2018-01-18,25.5,68.00,88
2018-01-19,25.9,27.70,85
2018-01-20,25.2,52.90,89
2018-01-21,24.9,32.10,88
2018-01-22,25.2,15.80,86
2018-01-23,25.3,11.40,88
2018-01-24,25.8,24.20,88
2018-01-25,25.5,12.70,87
2018-01-26,25.8,17.70,86
2018-01-27,26.0,4.90,85
2018-01-28,25.5,15.70,89
2018-01-29,25.9,7.10,87
2018-01-30,25.9,23.10,85
2018-01-31,25.4,9.40,89
2018-02-01,25.4,9.50,87
2018-02-02,25.5,9.60,87
2018-02-03,25.6,8.60,87
2018-02-04,25.9,11.70,84
2018-02-05,26.2,17.20,83
2018-02-06,26.0,40.80,83
2018-02-07,25.2,16.10,86
2018-02-08,24.5,16.70,92
2018-02-09,24.9,57.70,91
2018-02-10,25.3,17.80,87
2018-02-11,25.0,31.70,88
2018-02-12,25.4,15.60,88
2018-02-13,25.6,50.70,87
2018-02-14,25.8,25.10,87
2018-02-15,25.4,39.20,88
2018-02-16,25.5,3.00,85
2018-02-17,26.0,11.10,85
2018-02-18,26.1,10.90,85
2018-02-19,25.9,8.70,86
2018-02-20,25.9,22.30,85
2018-02-21,25.9,9.90,88
2018-02-22,25.7,16.80,87
2018-02-23,25.4,12.80,89
2018-02-24,25.3,35.20,90
2018-02-25,26.0,0.30,83
2018-02-26,26.0,12.20,84
2018-02-27,26.1,1.90,80
