latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.119508,111.941826,96.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,24.6,38.90,91
2018-01-02,25.1,9.80,89
2018-01-03,25.6,6.80,90
2018-01-04,25.1,16.80,92
2018-01-05,25.1,9.50,90
2018-01-06,25.3,4.40,89
2018-01-07,24.3,10.70,92
2018-01-08,25.1,5.50,88
2018-01-09,25.3,5.60,89
2018-01-10,25.1,16.20,89
2018-01-11,24.3,12.00,91
2018-01-12,24.2,2.30,85
2018-01-13,24.4,7.90,91
2018-01-14,25.6,1.50,83
2018-01-15,25.7,0.10,81
2018-01-16,24.7,2.60,87
2018-01-17,25.0,8.10,88
2018-01-18,24.9,11.30,89
2018-01-19,24.6,9.10,89
2018-01-20,24.7,11.40,87
2018-01-21,24.8,14.10,86
2018-01-22,24.6,11.50,89
2018-01-23,24.8,5.20,91
2018-01-24,24.7,5.70,90
2018-01-25,24.9,21.20,88
2018-01-26,25.2,21.10,85
2018-01-27,25.2,2.90,88
2018-01-28,24.6,1.30,90
2018-01-29,25.4,18.60,83
2018-01-30,25.4,5.90,82
2018-01-31,24.7,4.40,91
2018-02-01,24.4,7.00,92
2018-02-02,24.2,21.00,92
2018-02-03,24.1,17.00,93
2018-02-04,25.1,10.60,88
2018-02-05,25.4,1.60,85
2018-02-06,24.9,7.70,84
2018-02-07,24.3,21.80,90
2018-02-08,23.9,25.20,92
2018-02-09,23.9,18.80,91
2018-02-10,24.6,2.60,87
2018-02-11,24.6,4.00,90
2018-02-12,24.4,2.40,92
2018-02-13,24.6,8.70,90
2018-02-14,25.0,8.00,87
2018-02-15,24.7,13.40,88
2018-02-16,24.6,1.50,89
2018-02-17,25.2,11.00,87
2018-02-18,25.1,10.40,87
2018-02-19,24.9,11.30,90
2018-02-20,25.0,13.30,90
2018-02-21,25.4,9.40,88
2018-02-22,24.8,24.40,91
2018-02-23,24.7,8.00,91
2018-02-24,24.9,18.80,91
2018-02-25,25.0,8.10,88
2018-02-26,25.1,10.00,90
2018-02-27,25.6,1.50,87
2018-02-28,25.8,2.40,84
2018-03-01,25.4,10.60,88
2018-03-02,25.5,7.90,88
2018-03-03,25.6,4.00,89
2018-03-04,25.1,19.00,89
2018-03-05,25.1,13.10,92
2018-03-06,25.3,13.00,89
2018-03-07,24.7,22.10,92
2018-03-08,25.0,10.90,91
2018-03-09,25.5,1.10,89
2018-03-10,25.4,8.50,89
2018-03-11,25.5,2.80,88
2018-03-12,25.7,2.10,85
2018-03-13,25.2,2.70,87
2018-03-14,25.0,1.40,88
2018-03-15,25.4,1.70,87
2018-03-16,25.7,3.60,85
2018-03-17,24.8,13.90,90
2018-03-18,25.2,5.80,87
2018-03-19,25.3,2.00,87
2018-03-20,26.0,0.00,84
2018-03-21,25.0,0.40,87
2018-03-22,24.8,10.10,89
2018-03-23,25.8,2.10,84
2018-03-24,25.1,8.20,89
2018-03-25,25.1,4.20,89
2018-03-26,25.5,3.00,86
2018-03-27,25.5,8.10,87
2018-03-28,25.6,2.10,86
2018-03-29,26.1,0.30,83
2018-03-30,25.8,5.00,84
2018-03-31,25.3,7.50,87
2018-04-01,25.6,2.50,87
2018-04-02,25.6,9.90,88
2018-04-03,25.7,2.20,88
2018-04-04,25.7,5.00,87
2018-04-05,25.9,4.80,88
2018-04-06,25.6,4.90,88
2018-04-07,25.3,6.00,89
2018-04-08,25.2,8.10,89
2018-04-09,25.4,8.30,89
2018-04-10,25.7,2.80,87
2018-04-11,25.9,6.30,89
2018-04-12,26.3,2.60,88
2018-04-13,26.2,2.60,88
2018-04-14,26.3,1.50,87
2018-04-15,26.3,1.30,86
2018-04-16,25.8,1.50,89
2018-04-17,25.6,8.50,90
2018-04-18,25.9,2.90,89
2018-04-19,25.4,4.80,90
2018-04-20,25.8,9.20,88
2018-04-21,25.9,5.20,88
2018-04-22,25.8,9.60,90
2018-04-23,26.0,4.60,88
2018-04-24,26.0,2.40,88
2018-04-25,26.0,3.20,85
2018-04-26,26.1,0.90,84
2018-04-27,26.0,0.50,85
2018-04-28,25.6,0.70,86
2018-04-29,25.4,0.00,86
2018-04-30,24.9,0.30,85
2018-05-01,24.5,0.70,84
2018-05-02,24.6,0.20,85
2018-05-03,24.9,0.30,86
2018-05-04,24.9,0.00,82
2018-05-05,25.3,0.00,82
2018-05-06,26.0,1.50,83
2018-05-07,25.9,1.40,85
2018-05-08,25.8,0.10,83
2018-05-09,25.2,2.80,83
2018-05-10,26.1,0.30,82
2018-05-11,25.6,0.30,82
2018-05-12,25.5,0.60,84
2018-05-13,25.5,0.90,84
2018-05-14,26.4,3.90,83
2018-05-15,26.2,3.10,84
2018-05-16,26.3,6.60,83
2018-05-17,26.3,0.50,80
2018-05-18,25.9,1.00,80
2018-05-19,25.9,1.10,82
2018-05-20,26.1,0.60,79
2018-05-21,25.9,1.30,86
2018-05-22,26.2,4.10,85
2018-05-23,26.2,7.90,85
2018-05-24,25.8,2.90,87
2018-05-25,26.1,0.70,84
2018-05-26,26.1,0.80,81
2018-05-27,25.7,0.00,80
2018-05-28,25.4,0.30,82
2018-05-29,25.1,0.00,80
2018-05-30,24.3,0.00,83
2018-05-31,24.6,0.10,84
2018-06-01,24.3,0.00,84
2018-06-02,24.9,0.00,82
2018-06-03,25.7,0.30,82
2018-06-04,26.1,0.00,81
2018-06-05,26.2,0.00,83
2018-06-06,25.8,0.00,84
2018-06-07,25.5,0.00,84
2018-06-08,25.7,0.20,82
2018-06-09,25.2,0.50,80
2018-06-10,25.3,0.00,81
2018-06-11,26.0,3.70,80
2018-06-12,25.8,0.40,81
2018-06-13,25.4,0.00,76
2018-06-14,25.1,0.10,78
2018-06-15,25.3,0.00,77
2018-06-16,24.9,0.00,81
2018-06-17,25.3,0.00,80
2018-06-18,25.3,0.00,81
2018-06-19,24.9,5.10,87
2018-06-20,24.9,23.10,88
2018-06-21,24.8,5.50,88
2018-06-22,24.6,8.80,87
2018-06-23,25.0,4.20,85
2018-06-24,25.0,3.30,85
2018-06-25,24.5,7.60,84
2018-06-26,24.2,3.20,84
2018-06-27,24.3,0.70,83
2018-06-28,24.0,0.70,84
2018-06-29,23.8,0.50,86
2018-06-30,23.9,0.00,86
2018-07-01,23.9,0.00,85
2018-07-02,23.4,0.20,87
2018-07-03,23.8,0.00,87
2018-07-04,24.4,0.40,85
2018-07-05,23.5,0.00,79
2018-07-06,22.6,0.00,81
2018-07-07,23.3,0.00,83
2018-07-08,23.5,0.20,85
2018-07-09,23.9,0.10,84
2018-07-10,23.6,0.00,82
2018-07-11,23.0,1.60,82
2018-07-12,23.5,1.40,84
2018-07-13,23.7,0.20,81
2018-07-14,23.4,0.20,79
2018-07-15,23.2,0.10,74
2018-07-16,22.5,0.00,82
2018-07-17,23.5,0.00,83
2018-07-18,24.1,0.10,83
2018-07-19,24.2,0.00,83
2018-07-20,24.5,0.00,83
2018-07-21,24.7,0.80,83
2018-07-22,24.9,0.20,83
2018-07-23,24.6,1.60,84
2018-07-24,24.4,0.10,82
2018-07-25,22.7,0.00,81
2018-07-26,22.1,0.00,82
2018-07-27,23.1,0.00,83
2018-07-28,23.8,0.10,81
2018-07-29,23.5,0.00,82
2018-07-30,23.8,0.10,84
2018-07-31,24.5,2.50,82
2018-08-01,24.3,1.10,81
2018-08-02,23.6,0.00,74
2018-08-03,22.3,0.10,73
2018-08-04,23.0,0.30,72
2018-08-05,22.8,0.70,72
2018-08-06,22.6,0.00,73
2018-08-07,23.3,1.00,80
2018-08-08,24.1,0.10,82
2018-08-09,25.0,0.10,81
2018-08-10,24.6,0.70,82
2018-08-11,24.1,0.60,80
2018-08-12,24.5,0.30,78
2018-08-13,24.7,0.60,80
2018-08-14,24.6,0.50,81
2018-08-15,24.2,0.20,80
2018-08-16,23.6,0.00,78
2018-08-17,23.1,0.00,76
2018-08-18,23.5,0.20,81
2018-08-19,24.4,0.00,80
2018-08-20,24.6,0.00,81
2018-08-21,24.7,1.40,80
2018-08-22,24.9,0.00,79
2018-08-23,24.8,0.00,76
2018-08-24,24.3,0.20,76
2018-08-25,23.2,0.00,77
2018-08-26,24.1,0.00,77
2018-08-27,24.7,0.50,81
2018-08-28,24.9,1.60,80
2018-08-29,24.2,1.80,81
2018-08-30,24.5,0.90,79
2018-08-31,24.5,0.40,80
2018-09-01,24.2,1.80,84
2018-09-02,25.0,0.60,77
2018-09-03,24.5,0.10,71
2018-09-04,24.1,0.00,72
2018-09-05,24.4,1.50,80
2018-09-06,24.8,1.50,78
2018-09-07,24.9,1.60,79
2018-09-08,25.0,2.60,78
2018-09-09,25.5,0.10,78
2018-09-10,25.4,2.00,80
2018-09-11,25.2,0.70,80
2018-09-12,24.5,0.90,76
2018-09-13,24.2,0.00,74
2018-09-14,24.3,0.80,72
2018-09-15,23.8,0.00,77
2018-09-16,24.3,1.30,80
2018-09-17,25.3,1.00,78
2018-09-18,25.3,1.80,80
2018-09-19,25.5,1.10,80
2018-09-20,25.2,0.00,82
2018-09-21,25.8,0.60,80
2018-09-22,25.4,0.00,80
2018-09-23,26.0,0.20,78
2018-09-24,25.9,0.70,78
2018-09-25,26.1,0.10,77
2018-09-26,25.4,0.20,76
2018-09-27,24.8,0.00,76
2018-09-28,24.8,0.00,78
2018-09-29,25.6,0.40,78
2018-09-30,26.0,1.20,80
2018-10-01,26.3,1.60,78
2018-10-02,26.4,0.00,77
2018-10-03,26.7,0.00,74
2018-10-04,25.8,0.00,75
2018-10-05,26.2,0.00,76
2018-10-06,26.4,1.50,77
2018-10-07,26.7,1.20,77
2018-10-08,26.5,0.30,76
2018-10-09,26.2,0.00,77
2018-10-10,26.2,0.00,78
2018-10-11,26.7,0.20,76
2018-10-12,26.7,0.00,76
2018-10-13,26.3,1.10,77
2018-10-14,26.2,0.80,78
2018-10-15,26.3,2.10,77
2018-10-16,26.2,1.00,77
2018-10-17,26.1,0.80,77
2018-10-18,25.9,0.80,76
2018-10-19,25.8,0.50,74
2018-10-20,25.7,1.20,77
2018-10-21,25.9,3.40,77
2018-10-22,26.1,2.80,79
2018-10-23,26.7,1.10,76
2018-10-24,26.6,2.90,78
2018-10-25,26.4,1.90,77
2018-10-26,26.1,0.90,78
2018-10-27,26.0,3.10,80
2018-10-28,26.0,1.10,77
2018-10-29,26.0,2.80,76
2018-10-30,25.8,0.10,78
2018-10-31,26.0,0.40,78
2018-11-01,26.2,1.10,77
2018-11-02,26.8,1.20,77
2018-11-03,26.9,0.50,81
2018-11-04,26.9,2.10,79
2018-11-05,26.4,2.50,84
2018-11-06,26.0,7.50,86
2018-11-07,25.8,8.70,86
2018-11-08,25.6,68.90,88
2018-11-09,25.6,7.20,89
2018-11-10,26.1,10.20,88
2018-11-11,25.8,9.20,90
2018-11-12,25.4,9.70,90
2018-11-13,25.7,5.30,88
2018-11-14,26.0,13.40,88
2018-11-15,25.6,28.20,91
2018-11-16,26.5,1.00,84
2018-11-17,26.8,0.90,83
2018-11-18,26.6,2.90,85
2018-11-19,26.7,2.40,84
2018-11-20,26.7,2.20,81
2018-11-21,26.1,0.90,84
2018-11-22,25.8,0.70,82
2018-11-23,25.6,1.70,81
2018-11-24,25.7,3.90,80
2018-11-25,25.2,17.80,87
2018-11-26,24.6,18.20,92
2018-11-27,25.2,13.10,90
2018-11-28,25.2,45.90,88
2018-11-29,25.4,10.40,88
2018-11-30,25.1,15.40,89
2018-12-01,25.5,3.80,81
2018-12-02,25.7,2.60,82
2018-12-03,25.7,14.00,85
2018-12-04,25.3,60.20,90
2018-12-05,25.6,21.80,90
2018-12-06,25.7,9.70,89
2018-12-07,26.1,8.20,89
2018-12-08,25.4,49.20,90
2018-12-09,26.1,5.90,89
2018-12-10,26.2,6.60,89
2018-12-11,26.4,1.30,86
2018-12-12,26.6,2.30,81
2018-12-13,25.8,12.30,83
2018-12-14,26.7,0.90,81
2018-12-15,26.0,10.10,85
2018-12-16,25.5,2.60,86
2018-12-17,25.9,1.20,79
2018-12-18,25.6,0.20,82
2018-12-19,25.9,0.50,81
2018-12-20,25.5,15.10,86
2018-12-21,24.9,16.30,91
2018-12-22,25.6,7.00,86
2018-12-23,25.4,7.20,87
2018-12-24,25.1,5.50,86
2018-12-25,23.6,62.10,95
2018-12-26,25.4,8.20,86
2018-12-27,26.3,1.40,82
2018-12-28,26.2,0.10,80
2018-12-29,26.6,0.50,76
2018-12-30,25.7,2.10,81
2018-12-31,26.3,3.30,79
2019-01-01,26.1,5.80,78
2019-01-02,25.7,10.30,82
2019-01-03,25.0,13.10,89
2019-01-04,24.9,9.90,89
2019-01-05,25.5,6.50,88
2019-01-06,25.8,8.40,89
2019-01-07,25.8,10.10,89
2019-01-08,25.9,1.70,88
2019-01-09,26.1,8.70,88
2019-01-10,26.3,3.90,87
2019-01-11,26.5,7.40,87
2019-01-12,25.9,4.00,90
2019-01-13,26.0,22.00,89
2019-01-14,25.7,6.90,89
2019-01-15,25.5,11.70,90
2019-01-16,24.5,63.00,93
2019-01-17,24.4,32.10,92
2019-01-18,24.9,10.60,91
2019-01-19,25.1,10.60,92
2019-01-20,26.1,5.90,88
2019-01-21,25.8,12.60,89
2019-01-22,25.5,20.40,89
2019-01-23,23.9,5.30,92
2019-01-24,24.9,19.10,89
2019-01-25,24.7,18.70,91
2019-01-26,25.5,5.50,89
2019-01-27,24.7,1.40,91
2019-01-28,24.6,0.60,91
2019-01-29,25.4,0.20,90
2019-01-30,25.6,16.40,89
2019-01-31,25.2,7.90,89
2019-02-01,24.9,14.40,90
2019-02-02,25.2,7.40,91
2019-02-03,25.7,4.90,89
2019-02-04,25.3,14.30,90
2019-02-05,25.4,6.00,88
2019-02-06,25.3,3.80,90
2019-02-07,25.6,2.20,87
2019-02-08,25.3,3.30,89
2019-02-09,26.2,1.40,82
2019-02-10,25.9,10.80,87
2019-02-11,25.9,2.20,85
2019-02-12,25.7,4.20,87
2019-02-13,25.6,10.00,88
2019-02-14,25.7,6.50,89
2019-02-15,25.5,9.50,90
2019-02-16,25.5,22.30,89
2019-02-17,25.7,8.90,88
2019-02-18,25.4,11.10,90
2019-02-19,25.6,14.50,91
2019-02-20,25.2,5.20,92
2019-02-21,25.7,2.40,88
2019-02-22,25.6,18.00,90
2019-02-23,25.7,6.70,89
2019-02-24,25.5,9.20,92
2019-02-25,26.1,8.00,86
2019-02-26,26.4,2.40,88
2019-02-27,26.2,10.60,90
2019-02-28,26.2,8.00,90
2019-03-01,25.9,6.20,91
2019-03-02,25.5,16.50,91
2019-03-03,25.7,7.10,89
2019-03-04,25.5,49.30,90
2019-03-05,25.6,15.10,90
2019-03-06,24.6,34.70,93
2019-03-07,23.8,27.30,90
2019-03-08,24.2,0.40,86
2019-03-09,25.2,1.70,84
2019-03-10,25.4,6.00,89
2019-03-11,26.2,0.10,85
2019-03-12,25.5,7.40,91
2019-03-13,25.2,12.50,92
2019-03-14,26.2,0.70,86
2019-03-15,24.7,11.50,93
2019-03-16,25.3,6.10,89
2019-03-17,24.2,57.30,94
2019-03-18,25.0,3.90,89
2019-03-19,25.0,23.30,91
2019-03-20,25.1,24.10,91
2019-03-21,25.1,2.10,92
2019-03-22,24.9,8.90,92
2019-03-23,24.6,16.80,93
2019-03-24,25.1,5.70,92
2019-03-25,25.4,8.10,91
2019-03-26,25.5,2.70,90
2019-03-27,25.9,1.70,89
2019-03-28,25.6,5.20,91
2019-03-29,25.5,0.40,86
2019-03-30,25.6,0.60,84
2019-03-31,25.9,2.40,87
2019-04-01,26.1,2.90,86
2019-04-02,25.6,1.20,88
2019-04-03,25.8,4.40,88
2019-04-04,25.6,10.10,91
2019-04-05,25.5,9.10,91
2019-04-06,25.2,9.90,92
2019-04-07,25.5,10.60,92
2019-04-08,26.1,5.00,88
2019-04-09,26.5,2.90,88
2019-04-10,26.2,3.00,89
2019-04-11,26.0,4.20,89
2019-04-12,26.1,9.40,86
2019-04-13,25.7,21.60,90
2019-04-14,26.0,4.90,90
2019-04-15,26.0,6.80,91
2019-04-16,25.7,10.40,91
2019-04-17,25.9,27.40,90
2019-04-18,26.4,2.00,91
2019-04-19,26.2,4.30,86
2019-04-20,26.2,2.80,88
2019-04-21,26.4,0.80,85
2019-04-22,26.5,1.80,85
2019-04-23,26.4,2.20,84
2019-04-24,26.4,1.80,87
2019-04-25,26.3,0.80,85
2019-04-26,25.8,2.10,87
2019-04-27,25.6,3.60,91
2019-04-28,25.4,43.40,91
2019-04-29,25.3,10.90,91
2019-04-30,25.8,2.30,88
2019-05-01,25.9,2.50,87
2019-05-02,25.8,4.90,88
2019-05-03,25.8,0.50,88
2019-05-04,25.5,0.80,89
2019-05-05,25.5,3.60,89
2019-05-06,25.9,3.00,89
2019-05-07,25.9,3.10,88
2019-05-08,25.9,2.30,85
2019-05-09,25.2,1.20,84
2019-05-10,25.2,2.90,84
2019-05-11,25.6,0.90,82
2019-05-12,25.3,0.30,83
2019-05-13,25.0,1.70,87
2019-05-14,25.7,1.70,87
2019-05-15,26.1,1.80,85
2019-05-16,25.3,1.60,85
2019-05-17,24.2,0.90,88
2019-05-18,24.6,0.50,84
2019-05-19,24.7,0.00,84
2019-05-20,25.5,0.30,85
2019-05-21,25.5,0.00,86
2019-05-22,25.4,0.30,87
2019-05-23,25.7,2.20,85
2019-05-24,25.5,0.50,83
2019-05-25,25.0,0.40,83
2019-05-26,25.5,5.80,84
2019-05-27,25.5,2.70,85
2019-05-28,25.7,2.10,86
2019-05-29,25.4,1.20,85
2019-05-30,25.1,0.10,84
2019-05-31,24.7,0.00,82
2019-06-01,24.8,0.00,80
2019-06-02,24.8,0.90,82
2019-06-03,24.4,0.70,87
2019-06-04,24.8,0.60,87
2019-06-05,25.5,0.00,86
2019-06-06,25.9,0.00,85
2019-06-07,25.2,0.00,86
2019-06-08,24.2,0.00,85
2019-06-09,24.4,0.60,85
2019-06-10,24.7,0.00,85
2019-06-11,24.9,0.00,84
2019-06-12,25.1,0.10,85
2019-06-13,25.0,0.90,85
2019-06-14,25.1,4.90,87
2019-06-15,25.3,0.00,83
2019-06-16,24.2,0.00,85
2019-06-17,23.8,0.00,85
2019-06-18,24.2,0.00,84
2019-06-19,24.1,0.00,82
2019-06-20,22.8,0.10,84
2019-06-21,23.1,0.00,83
2019-06-22,23.5,0.00,83
2019-06-23,23.4,0.10,85
2019-06-24,23.4,0.00,84
2019-06-25,24.0,0.00,84
2019-06-26,24.4,0.00,83
2019-06-27,23.8,0.00,80
2019-06-28,23.1,0.00,80
2019-06-29,22.8,0.00,75
2019-06-30,22.8,0.00,82
2019-07-01,23.4,0.00,81
2019-07-02,24.3,0.00,84
2019-07-03,25.4,2.00,83
2019-07-04,25.3,3.90,86
2019-07-05,24.9,1.30,85
2019-07-06,24.9,0.00,79
2019-07-07,24.6,0.00,79
