latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.9086113,112.57679,1056.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,19.9,6.70,91
2018-01-02,20.2,26.50,92
2018-01-03,20.5,1.10,90
2018-01-04,20.4,74.90,91
2018-01-05,20.3,27.70,91
2018-01-06,20.3,26.60,92
2018-01-07,19.9,50.10,91
2018-01-08,20.5,47.10,88
2018-01-09,20.6,31.20,89
2018-01-10,20.0,14.50,91
2018-01-11,19.3,11.90,89
2018-01-12,20.1,1.00,83
2018-01-13,20.5,5.10,84
2018-01-14,20.2,1.50,86
2018-01-15,20.5,1.50,83
2018-01-16,20.3,3.80,83
2018-01-17,20.2,2.00,85
2018-01-18,20.1,38.30,89
2018-01-19,19.3,7.00,93
2018-01-20,19.2,8.00,94
2018-01-21,19.5,7.40,90
2018-01-22,20.1,13.50,89
2018-01-23,20.4,10.90,90
2018-01-24,20.3,21.30,88
2018-01-25,19.8,13.60,89
2018-01-26,20.4,10.70,85
2018-01-27,21.1,3.40,83
2018-01-28,21.2,4.30,83
2018-01-29,20.6,2.20,86
2018-01-30,20.2,3.70,85
2018-01-31,21.0,2.30,85
2018-02-01,20.3,4.20,90
2018-02-02,20.0,18.60,91
2018-02-03,20.6,5.00,85
2018-02-04,20.4,6.10,88
2018-02-05,19.7,11.20,90
2018-02-06,19.5,8.00,86
2018-02-07,19.6,31.50,88
2018-02-08,19.6,25.40,90
2018-02-09,19.4,2.60,93
2018-02-10,20.0,2.80,86
2018-02-11,20.3,8.40,88
2018-02-12,20.1,17.20,91
2018-02-13,20.2,2.40,88
2018-02-14,20.3,8.00,87
2018-02-15,19.6,12.50,88
2018-02-16,20.1,1.60,87
2018-02-17,20.3,1.40,86
2018-02-18,20.6,3.40,86
2018-02-19,20.3,7.30,88
2018-02-20,20.0,14.00,90
2018-02-21,20.5,11.60,88
2018-02-22,20.1,16.00,92
2018-02-23,19.9,30.30,91
2018-02-24,19.8,53.20,93
2018-02-25,19.9,5.50,91
2018-02-26,19.9,29.20,90
2018-02-27,20.2,1.60,85
2018-02-28,20.4,4.70,88
2018-03-01,20.5,19.70,89
2018-03-02,20.2,44.20,90
2018-03-03,20.6,7.10,89
2018-03-04,20.6,12.30,90
2018-03-05,20.6,13.40,91
2018-03-06,20.5,22.50,89
2018-03-07,20.2,12.80,89
2018-03-08,20.0,30.70,89
2018-03-09,20.4,3.00,89
2018-03-10,20.5,12.30,90
2018-03-11,20.3,13.90,93
2018-03-12,20.3,10.80,92
2018-03-13,19.7,34.30,90
2018-03-14,19.9,2.00,87
2018-03-15,20.0,0.40,87
2018-03-16,20.0,3.80,89
2018-03-17,20.0,50.80,89
2018-03-18,20.0,8.30,88
2018-03-19,20.1,5.90,86
2018-03-20,20.8,0.00,80
2018-03-21,20.9,0.60,80
2018-03-22,20.1,23.90,87
2018-03-23,20.8,0.90,85
2018-03-24,20.1,1.60,91
2018-03-25,20.3,1.50,90
2018-03-26,20.3,1.20,90
2018-03-27,20.1,0.80,90
2018-03-28,20.2,1.20,90
2018-03-29,20.9,0.20,88
2018-03-30,20.4,8.60,89
2018-03-31,20.6,2.00,84
2018-04-01,20.7,6.00,85
2018-04-02,20.8,2.60,85
2018-04-03,20.7,0.80,86
2018-04-04,20.6,0.60,88
2018-04-05,20.6,0.70,91
2018-04-06,20.6,1.20,89
2018-04-07,20.6,6.80,87
2018-04-08,20.8,0.60,84
2018-04-09,20.6,1.80,83
2018-04-10,20.7,2.50,84
2018-04-11,20.9,2.30,86
2018-04-12,21.2,1.20,86
2018-04-13,21.5,1.80,86
2018-04-14,21.3,3.50,87
2018-04-15,21.2,1.70,85
2018-04-16,20.8,1.30,87
2018-04-17,20.6,2.20,90
2018-04-18,21.0,2.60,88
2018-04-19,20.8,3.30,88
2018-04-20,21.1,1.90,87
2018-04-21,21.5,2.20,86
2018-04-22,21.2,4.10,87
2018-04-23,20.9,2.20,88
2018-04-24,21.1,2.10,84
2018-04-25,20.8,3.80,88
2018-04-26,21.2,0.00,79
2018-04-27,21.0,0.20,78
2018-04-28,20.9,0.50,78
2018-04-29,20.9,0.00,71
2018-04-30,20.1,0.00,74
2018-05-01,20.1,0.00,76
2018-05-02,20.1,0.00,73
2018-05-03,20.1,0.00,75
2018-05-04,20.4,0.00,69
2018-05-05,21.1,0.00,67
2018-05-06,21.7,0.00,70
2018-05-07,21.4,2.50,77
2018-05-08,21.4,0.50,76
2018-05-09,21.1,0.60,77
2018-05-10,21.1,0.00,68
2018-05-11,21.5,0.20,68
2018-05-12,21.3,0.00,76
2018-05-13,21.4,0.00,76
2018-05-14,22.1,0.20,75
2018-05-15,21.5,1.20,77
2018-05-16,21.7,3.70,82
2018-05-17,21.3,2.70,84
2018-05-18,20.9,1.50,84
2018-05-19,21.4,4.00,82
2018-05-20,21.3,1.40,81
2018-05-21,21.3,1.20,78
2018-05-22,21.9,0.40,76
2018-05-23,21.7,1.10,77
2018-05-24,21.1,0.20,84
2018-05-25,21.6,1.80,83
2018-05-26,21.3,0.70,87
2018-05-27,20.7,2.50,86
2018-05-28,21.1,0.40,81
2018-05-29,20.8,0.00,81
2018-05-30,20.3,0.00,81
2018-05-31,20.3,0.00,73
2018-06-01,20.1,0.00,74
2018-06-02,21.4,0.00,68
2018-06-03,21.1,0.30,73
2018-06-04,21.5,0.00,72
2018-06-05,22.0,0.00,73
2018-06-06,20.9,0.10,82
2018-06-07,21.7,0.00,77
2018-06-08,21.3,0.00,80
2018-06-09,20.7,0.00,81
2018-06-10,21.3,0.10,75
2018-06-11,21.1,1.30,85
2018-06-12,21.1,4.60,84
2018-06-13,20.0,0.00,80
2018-06-14,20.1,0.00,79
2018-06-15,20.1,0.00,79
2018-06-16,20.2,0.00,69
2018-06-17,20.7,0.00,65
2018-06-18,20.8,0.00,58
2018-06-19,20.2,1.60,79
2018-06-20,20.4,10.10,90
2018-06-21,20.0,0.70,88
2018-06-22,20.4,2.10,90
2018-06-23,20.0,5.90,91
2018-06-24,20.1,9.90,88
2018-06-25,19.7,30.60,91
2018-06-26,19.4,3.80,90
2018-06-27,19.5,0.30,89
2018-06-28,19.4,2.90,90
2018-06-29,19.0,1.60,91
2018-06-30,18.9,0.80,87
2018-07-01,19.2,0.40,87
2018-07-02,19.2,0.10,80
2018-07-03,19.2,0.40,84
2018-07-04,19.2,2.80,89
2018-07-05,17.5,0.00,83
2018-07-06,18.0,0.30,83
2018-07-07,18.6,0.00,85
2018-07-08,19.2,0.60,83
2018-07-09,19.5,0.00,83
2018-07-10,18.9,0.10,87
2018-07-11,18.1,0.30,80
2018-07-12,18.4,1.40,84
2018-07-13,18.3,1.00,88
2018-07-14,18.3,1.60,87
2018-07-15,17.3,1.40,87
2018-07-16,18.1,0.20,84
2018-07-17,18.7,0.50,88
2018-07-18,19.3,0.90,89
2018-07-19,19.7,0.10,86
2018-07-20,20.3,0.30,80
2018-07-21,20.0,0.60,83
2018-07-22,20.2,1.80,87
2018-07-23,20.1,0.00,86
2018-07-24,19.9,0.00,77
2018-07-25,19.3,0.00,70
2018-07-26,18.8,0.00,75
