latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-8.119508,112.17279,173.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,24.4,17.70,90
2018-01-02,24.9,16.80,90
2018-01-03,25.1,13.70,89
2018-01-04,24.7,14.10,92
2018-01-05,24.5,16.70,92
2018-01-06,24.6,11.60,90
2018-01-07,24.6,8.50,87
2018-01-08,25.1,7.70,86
2018-01-09,25.4,9.20,88
2018-01-10,24.6,20.30,92
2018-01-11,23.8,13.20,90
2018-01-12,24.8,1.50,79
2018-01-13,26.0,2.50,81
2018-01-14,25.6,2.30,81
2018-01-15,25.3,3.70,82
2018-01-16,25.2,3.10,82
2018-01-17,25.2,12.50,84
2018-01-18,24.9,22.80,87
2018-01-19,24.3,23.50,91
2018-01-20,24.4,17.20,88
2018-01-21,24.3,18.50,88
2018-01-22,25.0,6.10,86
2018-01-23,25.1,12.00,88
2018-01-24,24.9,12.80,89
2018-01-25,24.8,25.90,89
2018-01-26,24.9,14.20,85
2018-01-27,25.5,16.60,85
2018-01-28,25.8,2.20,81
2018-01-29,25.3,12.90,84
2018-01-30,24.7,18.50,85
2018-01-31,25.4,7.20,84
2018-02-01,24.7,22.20,88
2018-02-02,24.3,26.50,90
2018-02-03,24.7,7.90,88
2018-02-04,25.0,14.90,86
2018-02-05,24.9,7.70,88
2018-02-06,24.3,11.60,86
2018-02-07,24.5,21.10,87
2018-02-08,24.0,17.10,90
2018-02-09,23.9,19.40,91
2018-02-10,24.8,1.20,85
2018-02-11,25.2,1.80,84
2018-02-12,25.1,2.70,86
2018-02-13,24.8,6.70,87
2018-02-14,24.9,18.30,87
2018-02-15,24.5,20.30,89
2018-02-16,25.2,2.30,85
2018-02-17,25.0,13.10,86
2018-02-18,25.4,3.60,84
2018-02-19,24.9,17.30,89
2018-02-20,24.8,12.30,88
2018-02-21,25.4,9.40,86
2018-02-22,24.8,21.80,89
2018-02-23,24.9,19.10,89
2018-02-24,24.7,17.90,91
2018-02-25,24.6,7.50,89
2018-02-26,24.8,7.20,88
2018-02-27,25.2,1.50,85
2018-02-28,25.5,1.60,85
2018-03-01,25.4,4.60,83
2018-03-02,25.0,9.90,89
2018-03-03,25.5,6.50,87
2018-03-04,25.1,13.30,88
2018-03-05,25.1,12.00,90
2018-03-06,25.2,12.40,88
2018-03-07,24.4,17.30,94
2018-03-08,24.8,16.20,89
2018-03-09,24.9,2.30,90
2018-03-10,25.6,3.60,86
2018-03-11,25.3,3.00,88
2018-03-12,25.2,2.90,85
2018-03-13,24.9,5.80,85
2018-03-14,24.6,1.60,87
2018-03-15,24.8,1.20,87
2018-03-16,25.2,2.60,86
2018-03-17,24.5,9.10,88
2018-03-18,24.7,8.90,87
2018-03-19,25.2,0.60,85
2018-03-20,25.5,0.00,84
2018-03-21,25.8,0.00,80
2018-03-22,25.3,11.90,83
2018-03-23,25.6,0.80,83
2018-03-24,24.4,6.20,93
2018-03-25,24.8,4.50,88
2018-03-26,25.1,3.70,88
2018-03-27,25.0,1.80,88
2018-03-28,25.2,2.10,89
2018-03-29,25.7,3.30,86
2018-03-30,25.6,4.30,85
2018-03-31,25.5,6.70,84
2018-04-01,25.7,0.50,82
2018-04-02,25.3,5.20,86
2018-04-03,25.3,0.60,87
2018-04-04,24.9,1.10,88
2018-04-05,25.6,2.10,86
2018-04-06,25.5,3.10,88
2018-04-07,25.1,3.60,87
2018-04-08,24.9,14.40,87
2018-04-09,25.2,2.10,86
2018-04-10,25.8,1.60,81
2018-04-11,25.9,1.20,85
2018-04-12,25.8,6.40,87
2018-04-13,26.1,3.30,86
2018-04-14,26.2,1.90,84
2018-04-15,26.0,1.40,85
2018-04-16,25.5,3.50,90
2018-04-17,25.3,9.60,90
2018-04-18,25.8,5.00,86
2018-04-19,25.5,2.60,87
2018-04-20,25.3,4.30,89
2018-04-21,25.8,3.90,86
2018-04-22,25.8,6.10,87
2018-04-23,26.0,5.20,85
2018-04-24,26.1,1.80,82
2018-04-25,25.5,2.50,86
2018-04-26,25.8,1.20,83
2018-04-27,25.6,0.90,83
2018-04-28,25.1,0.30,85
2018-04-29,25.1,0.00,81
2018-04-30,24.8,0.50,79
2018-05-01,24.4,0.20,80
2018-05-02,24.3,0.00,80
2018-05-03,24.3,0.10,83
2018-05-04,24.9,0.00,77
2018-05-05,25.2,0.00,77
2018-05-06,25.8,1.30,77
2018-05-07,26.3,0.50,76
2018-05-08,25.9,0.00,76
2018-05-09,25.4,0.50,75
2018-05-10,26.4,0.50,73
2018-05-11,25.8,0.00,73
2018-05-12,26.0,0.20,75
2018-05-13,26.3,0.20,74
2018-05-14,27.1,0.90,74
