latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.8383126,112.020454,70.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,25.8,0.60,85
2018-01-02,25.8,9.70,86
2018-01-03,26.2,7.60,86
2018-01-04,25.7,3.20,89
2018-01-05,25.7,10.50,87
2018-01-06,26.0,4.10,85
2018-01-07,25.1,15.10,88
2018-01-08,26.1,0.50,85
2018-01-09,26.3,4.10,86
2018-01-10,25.5,16.70,88
2018-01-11,24.6,4.10,90
2018-01-12,24.5,1.60,84
2018-01-13,25.9,3.50,86
2018-01-14,25.7,3.90,83
2018-01-15,25.5,0.50,84
2018-01-16,25.0,2.10,85
2018-01-17,25.3,2.20,85
2018-01-18,25.0,9.10,90
2018-01-19,25.2,6.10,88
2018-01-20,24.8,10.20,90
2018-01-21,24.5,8.40,90
2018-01-22,24.6,5.10,89
2018-01-23,25.0,6.10,90
2018-01-24,25.2,2.80,90
2018-01-25,24.6,10.80,89
2018-01-26,24.4,5.60,88
2018-01-27,25.4,5.00,88
2018-01-28,25.9,4.80,86
2018-01-29,25.2,10.20,89
2018-01-30,25.0,5.40,84
2018-01-31,25.4,9.60,88
2018-02-01,24.8,22.50,91
2018-02-02,24.5,9.30,90
2018-02-03,25.1,27.10,91
2018-02-04,25.4,2.00,87
2018-02-05,25.3,22.50,90
2018-02-06,25.0,1.90,85
2018-02-07,24.4,9.00,90
2018-02-08,23.8,12.50,92
2018-02-09,24.4,5.70,91
2018-02-10,25.2,1.30,86
2018-02-11,25.3,3.50,88
2018-02-12,24.9,14.90,92
2018-02-13,24.4,4.20,90
2018-02-14,24.9,2.90,89
2018-02-15,24.5,11.60,91
2018-02-16,24.4,6.60,90
2018-02-17,25.0,2.70,88
2018-02-18,25.8,5.90,86
2018-02-19,25.6,15.00,88
2018-02-20,25.6,8.90,87
2018-02-21,25.8,8.10,88
2018-02-22,25.1,16.30,90
2018-02-23,25.1,14.20,92
2018-02-24,25.1,7.90,90
2018-02-25,25.7,3.00,86
2018-02-26,25.6,4.60,88
2018-02-27,26.4,0.30,81
2018-02-28,26.4,0.90,84
2018-03-01,25.9,0.80,86
2018-03-02,25.8,4.40,88
2018-03-03,26.2,6.50,87
2018-03-04,25.9,1.10,88
2018-03-05,25.7,3.30,91
2018-03-06,26.2,1.80,86
2018-03-07,25.5,4.10,89
2018-03-08,25.4,3.70,88
2018-03-09,26.2,3.60,87
2018-03-10,26.1,1.10,87
2018-03-11,25.8,9.90,88
2018-03-12,26.2,3.50,84
2018-03-13,25.7,7.10,85
2018-03-14,25.9,2.30,84
2018-03-15,26.1,4.80,83
2018-03-16,26.1,3.10,84
2018-03-17,25.3,7.60,90
2018-03-18,25.7,11.60,87
2018-03-19,26.2,1.10,83
2018-03-20,27.1,0.00,79
2018-03-21,26.4,0.10,82
2018-03-22,25.3,4.90,88
2018-03-23,26.4,0.00,82
2018-03-24,26.1,1.10,84
2018-03-25,25.9,0.10,84
2018-03-26,26.3,1.00,83
2018-03-27,26.1,2.00,83
2018-03-28,26.6,0.00,81
2018-03-29,27.2,0.00,80
2018-03-30,26.3,1.40,84
2018-03-31,26.1,0.10,83
2018-04-01,26.4,1.00,81
2018-04-02,26.2,0.40,85
2018-04-03,26.6,1.10,83
2018-04-04,26.7,0.50,81
2018-04-05,26.9,4.30,81
2018-04-06,26.5,6.50,85
2018-04-07,26.0,19.50,88
2018-04-08,25.9,10.60,86
2018-04-09,26.2,2.60,84
2018-04-10,26.9,3.50,79
2018-04-11,27.0,4.10,81
2018-04-12,26.8,2.30,83
2018-04-13,27.3,4.60,82
2018-04-14,27.3,6.40,83
2018-04-15,27.5,0.10,80
2018-04-16,26.8,8.30,83
2018-04-17,26.4,4.50,84
2018-04-18,26.5,15.20,85
2018-04-19,26.4,3.40,85
2018-04-20,26.4,7.30,86
2018-04-21,26.6,4.70,86
2018-04-22,26.4,12.30,87
2018-04-23,26.7,5.40,84
2018-04-24,26.7,0.90,82
2018-04-25,26.7,2.10,83
2018-04-26,26.8,0.40,82
2018-04-27,27.0,0.50,79
2018-04-28,26.8,0.00,79
2018-04-29,27.0,0.00,75
2018-04-30,26.4,0.00,73
2018-05-01,26.2,0.00,76
2018-05-02,26.3,0.00,74
2018-05-03,26.3,0.00,76
2018-05-04,26.6,0.00,70
2018-05-05,27.0,0.20,72
2018-05-06,27.4,0.00,75
2018-05-07,27.6,0.00,73
2018-05-08,27.5,0.00,72
2018-05-09,26.9,0.20,70
2018-05-10,27.8,0.20,70
2018-05-11,27.3,0.00,71
2018-05-12,27.7,0.00,69
2018-05-13,27.5,0.00,70
2018-05-14,28.3,0.00,70
2018-05-15,27.6,2.30,76
2018-05-16,27.7,2.90,75
2018-05-17,27.7,0.50,71
2018-05-18,27.7,0.30,69
2018-05-19,27.7,1.40,70
2018-05-20,28.1,0.40,68
2018-05-21,27.2,0.70,77
2018-05-22,27.9,1.10,75
2018-05-23,27.4,10.10,79
2018-05-24,27.2,2.80,77
2018-05-25,27.2,1.50,78
2018-05-26,27.0,0.70,78
2018-05-27,27.0,0.30,72
2018-05-28,27.0,0.00,73
2018-05-29,27.2,0.00,68
2018-05-30,26.3,0.00,71
2018-05-31,26.2,0.00,74
2018-06-01,26.1,0.00,71
2018-06-02,27.5,0.00,67
2018-06-03,28.1,0.00,69
2018-06-04,28.4,0.00,69
2018-06-05,28.5,0.00,69
2018-06-06,27.2,0.00,75
2018-06-07,27.3,0.00,74
2018-06-08,27.2,0.00,72
2018-06-09,26.9,0.00,70
2018-06-10,27.1,0.00,72
2018-06-11,27.5,1.20,71
2018-06-12,27.4,0.00,72
2018-06-13,26.8,0.00,67
2018-06-14,26.8,0.00,69
2018-06-15,26.9,0.00,67
2018-06-16,27.1,0.00,67
2018-06-17,27.5,0.00,68
2018-06-18,27.4,0.00,69
2018-06-19,26.3,2.20,78
2018-06-20,26.4,9.30,80
2018-06-21,25.7,1.70,83
2018-06-22,25.9,5.20,80
2018-06-23,26.3,1.10,77
2018-06-24,26.6,0.50,76
2018-06-25,25.9,3.00,77
2018-06-26,25.6,0.20,75
2018-06-27,26.0,0.20,74
2018-06-28,26.0,0.40,72
2018-06-29,25.7,1.30,74
2018-06-30,25.8,0.00,73
2018-07-01,26.1,0.00,72
2018-07-02,25.5,0.00,76
2018-07-03,25.6,0.10,75
2018-07-04,26.2,1.30,74
2018-07-05,25.4,0.00,68
2018-07-06,25.0,0.00,68
2018-07-07,25.5,0.00,69
2018-07-08,25.4,0.00,73
2018-07-09,26.0,0.00,71
2018-07-10,25.9,0.00,67
