latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.9789104,112.59608,460.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,22.7,6.90,88
2018-01-02,22.8,11.50,91
2018-01-03,23.2,0.50,87
2018-01-04,23.1,34.60,91
2018-01-05,22.9,24.50,92
2018-01-06,23.0,11.00,91
2018-01-07,22.6,50.80,92
2018-01-08,23.2,18.60,87
2018-01-09,23.7,11.10,84
2018-01-10,22.9,17.30,91
2018-01-11,22.2,23.80,92
2018-01-12,23.1,1.40,84
2018-01-13,23.2,7.30,83
2018-01-14,23.2,5.60,86
2018-01-15,23.4,5.50,85
2018-01-16,23.2,7.20,84
2018-01-17,23.2,14.20,84
2018-01-18,23.1,25.70,88
2018-01-19,22.4,25.00,92
2018-01-20,22.2,14.30,94
2018-01-21,22.6,12.80,91
2018-01-22,23.0,19.00,88
2018-01-23,22.9,11.60,92
2018-01-24,22.9,12.90,90
2018-01-25,22.8,38.70,91
2018-01-26,23.3,9.40,88
2018-01-27,23.9,4.30,84
2018-01-28,24.2,3.30,83
2018-01-29,23.6,3.00,87
2018-01-30,23.1,3.40,86
2018-01-31,23.6,5.90,88
2018-02-01,22.8,26.40,93
2018-02-02,22.7,19.70,94
2018-02-03,23.5,38.80,85
2018-02-04,23.4,10.40,86
2018-02-05,22.9,4.40,89
2018-02-06,22.4,14.10,88
2018-02-07,22.4,17.70,90
2018-02-08,22.4,24.10,90
2018-02-09,22.6,2.60,89
2018-02-10,22.9,3.30,87
2018-02-11,23.1,15.60,86
2018-02-12,23.1,35.40,88
2018-02-13,23.2,24.40,87
2018-02-14,23.2,8.60,88
2018-02-15,22.5,30.50,91
2018-02-16,22.9,3.40,89
2018-02-17,23.3,11.50,84
2018-02-18,23.5,4.50,87
2018-02-19,23.2,11.30,89
2018-02-20,22.9,14.20,89
2018-02-21,23.5,12.40,86
2018-02-22,22.7,39.30,92
2018-02-23,22.7,17.70,89
2018-02-24,22.7,37.10,90
2018-02-25,22.8,9.00,90
2018-02-26,22.8,27.80,89
2018-02-27,23.2,1.90,81
2018-02-28,23.4,5.10,86
2018-03-01,23.4,3.00,86
2018-03-02,23.0,25.40,90
2018-03-03,23.4,6.50,88
2018-03-04,23.3,6.20,88
2018-03-05,23.2,1.60,89
2018-03-06,23.4,1.50,86
2018-03-07,23.0,11.90,89
2018-03-08,23.0,19.80,87
2018-03-09,23.4,5.80,86
2018-03-10,23.4,5.70,88
2018-03-11,23.1,4.70,90
2018-03-12,23.1,8.20,90
2018-03-13,22.7,22.50,87
2018-03-14,22.8,2.30,84
2018-03-15,23.1,1.70,83
2018-03-16,22.9,10.40,88
