latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.486819,112.46181,24.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m_mean (°C),precipitation_sum (mm),relative_humidity_2m_mean (%)
2018-01-01,26.5,1.30,86
2018-01-02,26.6,0.70,87
2018-01-03,27.0,14.90,88
2018-01-04,26.3,34.10,90
2018-01-05,26.8,11.30,87
2018-01-06,27.0,6.70,85
2018-01-07,25.3,25.30,93
2018-01-08,26.4,11.30,89
2018-01-09,27.0,11.40,86
2018-01-10,26.7,8.30,85
2018-01-11,25.5,7.40,88
2018-01-12,26.4,0.70,80
2018-01-13,26.5,12.80,82
2018-01-14,26.6,6.10,84
2018-01-15,27.0,0.70,83
2018-01-16,26.4,3.50,80
2018-01-17,26.8,14.00,80
2018-01-18,25.9,21.30,88
2018-01-19,25.7,14.20,89
2018-01-20,25.9,9.30,87
2018-01-21,25.7,4.90,85
2018-01-22,25.9,11.20,86
2018-01-23,25.9,7.80,88
2018-01-24,26.2,18.20,88
2018-01-25,26.2,10.30,84
2018-01-26,26.3,23.80,83
2018-01-27,27.0,3.10,82
2018-01-28,26.0,16.70,86
2018-01-29,26.6,14.30,84
2018-01-30,26.9,5.10,80
2018-01-31,26.1,2.50,85
2018-02-01,25.9,13.70,87
2018-02-02,25.9,10.40,88
2018-02-03,25.7,20.10,87
2018-02-04,25.9,3.90,88
2018-02-05,25.5,4.80,90
2018-02-06,25.6,20.00,86
2018-02-07,25.7,14.40,86
2018-02-08,24.7,20.20,93
2018-02-09,25.5,7.20,88
2018-02-10,26.1,3.10,88
2018-02-11,25.7,12.50,89
2018-02-12,25.8,9.30,87
2018-02-13,25.7,16.60,88
2018-02-14,26.5,1.10,84
2018-02-15,25.7,20.40,88
2018-02-16,25.8,3.70,88
2018-02-17,26.6,5.60,85
2018-02-18,27.0,2.20,83
2018-02-19,26.4,23.50,87
2018-02-20,26.5,16.60,88
2018-02-21,26.6,10.80,87
2018-02-22,25.7,16.40,92
2018-02-23,25.6,15.30,92
2018-02-24,25.4,20.70,92
2018-02-25,26.4,4.00,86
2018-02-26,25.9,12.30,89
2018-02-27,26.7,3.60,85
2018-02-28,26.5,10.00,88
2018-03-01,26.1,13.30,90
2018-03-02,26.4,5.30,88
2018-03-03,26.4,3.30,89
2018-03-04,26.5,10.80,89
2018-03-05,25.6,6.30,92
2018-03-06,26.8,4.10,87
2018-03-07,26.4,2.60,88
2018-03-08,26.5,5.70,87
2018-03-09,26.9,6.80,85
2018-03-10,26.9,4.70,86
2018-03-11,26.4,12.50,88
2018-03-12,26.1,3.80,90
2018-03-13,25.4,19.20,92
2018-03-14,27.2,0.40,80
2018-03-15,27.3,0.40,80
2018-03-16,26.3,28.70,87
2018-03-17,25.5,20.90,93
2018-03-18,26.0,10.10,88
2018-03-19,27.0,0.10,82
2018-03-20,27.9,0.00,77
2018-03-21,27.0,2.60,83
2018-03-22,25.8,12.30,88
2018-03-23,27.1,4.00,83
2018-03-24,27.1,1.90,82
2018-03-25,26.6,11.00,85
2018-03-26,26.9,0.50,86
2018-03-27,26.8,1.70,86
2018-03-28,27.5,1.00,80
2018-03-29,27.8,1.00,80
2018-03-30,27.0,1.20,83
2018-03-31,27.1,0.20,85
2018-04-01,27.1,8.40,86
2018-04-02,26.6,5.60,88
2018-04-03,27.1,3.60,84
2018-04-04,27.7,0.50,80
2018-04-05,28.1,0.20,78
2018-04-06,27.8,0.20,80
2018-04-07,26.9,1.70,84
2018-04-08,26.3,2.10,85
2018-04-09,27.4,1.50,80
2018-04-10,27.7,0.10,74
2018-04-11,28.4,0.20,74
2018-04-12,27.7,7.70,80
2018-04-13,28.5,1.60,79
2018-04-14,28.8,0.90,75
2018-04-15,28.8,0.00,74
2018-04-16,28.2,1.20,80
2018-04-17,27.4,0.60,86
2018-04-18,27.1,7.20,87
2018-04-19,27.6,5.90,82
2018-04-20,27.8,1.90,81
2018-04-21,27.6,1.30,83
2018-04-22,27.5,3.10,83
2018-04-23,27.6,2.40,83
