Kabupaten/Kota Se Jawa Timur,Luas Panen Padi Menurut Kabupaten/Kota (Hektar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,2019,,,,,,,,,,,,,2020,,,,,,,,,,,,,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kabupaten Pacitan,807,2219,4762,2415,1518,2221,2825,1114,556,431,169,275,19312,1527,2717,6150,2976,1210,1489,2671,1063,113,121,351,117,20504,33,609,798,8484,2828,1195,1297,2299,570,521,224,433,19292,539,3807,5240,1596,1439,1986,2444,309,329,205,876,125,18894,20.76,3226.83,5315.37,1905.57,1016.38,1757.44,2300.01,563.16,449.2,371.33,825.65,79.77,17831.47,393.6,3890.75,4706.16,1714.68,555.38,2531.34,1898.33,874.84,188.87,131.21,617.53,420.71,17923.4,61.91,44.17,2540.48,5009.7,3330.43,649.14,414.22,1450.87,442.16,203.6,71.53,384.64,14602.85
Kabupaten Ponorogo,33,668,13843,14047,315,3579,16651,5657,891,192,1128,6439,63444,1479,762,8860,17192,3169,1473,11472,9142,1384,298,223,2626,58080,4799,354,3798,21053,4403,556,11704,9926,1790,113,888,5689,65073,3515,247,9369,17714,2542,1877,14805,8297,1051,67,1197,8061,68741,1346.39,119.28,13146.19,12979.91,2400.76,2620.91,13696.87,6644.57,1442.86,64.65,1619.19,6882.79,62964.37,2594.09,122.09,14557.63,10585.49,3685.53,4912.77,10689.15,7758.69,2313.54,254.7,1590.15,7530.72,66594.55,2952.86,158.58,7142.08,16753.16,4675.3,2501.67,8212.47,9646.08,3729.04,475.47,1096.45,6052.44,63395.6
Kabupaten Trenggalek,17,504,5118,3759,1083,580,4298,2714,1649,1280,1061,669,22733,397,86,3904,4475,1703,282,3951,3039,1295,842,234,268,20475,130,223,1318,4979,3027,597,2541,2296,2514,493,1064,448,19631,565,829,3401,4593,783,1416,5033,1931,536,784,1412,1210,22492,508.19,128.91,5101.36,3306.49,1016.85,544.91,4676.86,2275.88,679.83,858.6,1675.62,1253.47,22026.97,498.72,752.81,5434.66,2937.63,913.54,693.14,3928.73,3404.94,657.65,457.84,1525.25,844.45,22049.36,317.75,67.77,1069.77,4599.55,3090.94,1067,1272.62,3643.84,839.97,1005.75,542.15,722.34,18239.46
Kabupaten Tulungagung,318,1649,5143,9415,1964,1142,2906,7365,2594,1261,1090,74,34920,880,481,3047,9458,5621,1239,1120,6288,4040,1108,848,455,34584,850,75,467,7276,9932,2656,216,2911,5666,5616,923,101,36689,530,3523,3642,9326,3468,2538,3092,5813,4096,2060,1127,635,39851,2133.15,827.77,4178.46,10366.31,3031.91,1685.79,2841.11,7473.64,2218.64,2303.05,1565.33,906.09,39531.25,2348.64,1560.66,9612.43,5252.79,1736.9,1938,5519.43,5682.48,2049.06,1565.1,1515.03,1458.14,40238.66,1286.68,1201.97,766.34,6294.13,6795.19,4488.76,1278.36,4130.49,2451.33,3196.6,1812.32,465.82,34167.99
Kabupaten Blitar,344,1544,6417,10042,5677,1584,3495,2099,1675,1922,890,1413,37102,1117,821,3490,10972,8076,2553,796,2047,1813,2422,1599,488,36194,314,486,2124,8147,10559,2786,1038,2079,3022,3187,951,101,34795,1636,2204,4430,9102,7690,2496,2310,2065,2043,1797,1360,1506,38641,897.41,907.23,4589.3,10836.26,6094.47,1439.57,1711.76,1903.2,2207.72,1995.28,1036.68,518.86,34137.74,927.32,2464.55,6767.38,9054.95,3530.6,2037.29,2441.75,2540.18,1482.65,1616.52,1759.79,1717.19,36340.17,682.25,636.75,1843.64,5976.4,10138.61,3261.73,908.17,1360.62,1825.01,1614.52,1863.3,678.76,30789.76
Kabupaten Kediri,570,2077,11567,5815,1614,2186,6232,2359,983,1013,1780,813,37009,1250,1825,11127,7350,1543,1226,7393,4282,778,319,1301,1054,39449,1358,965,8871,8972,2310,991,5975,3239,943,815,1149,775,36364,847,959,9077,8246,1391,852,6709,3237,654,890,714,1536,35113,629.63,1018.74,8128.63,6420.84,922.68,869.51,6722.36,1769.36,824.19,154.52,1069.85,849.55,29379.86,1389.92,1058.81,8415.55,6283.4,1597.04,1714.31,5278.88,2168.18,1148.55,689.71,753.9,770.08,31268.33,789.56,1174.64,6157.61,7525.11,2051.03,982.64,4494.63,3477.6,1146.19,603.74,892.64,1201.18,30496.57
Kabupaten Malang,2104,1988,5019,9819,5230,5234,2997,4315,4686,3268,3353,2360,50374,3389,1883,3584,8064,6432,5616,3128,3104,4625,2981,3173,2419,48398,3088,2028,2556,4235,8285,6564,3349,3744,3620,3776,2836,2039,46121,2859,3314,5069,6921,4494,3983,4933,4549,2115,2874,2186,2046,45344,4233.9,1676.67,5129.08,7177.74,5386.51,3755.81,3774.41,3578.29,2824.87,3002.99,2735.08,2626.56,45901.91,3057.49,1634.2,7396.54,5818.45,4266.26,3915.65,3687.64,2376.62,3374.74,3422.15,2796.58,2172.27,43918.59,2942.41,1574.76,2136.43,3754.71,6612.66,6777.51,4546.31,2244.35,1786.84,3095.38,3157.45,2391.15,41019.97
Kabupaten Lumajang,2165,3191,7424,9179,4820,3406,5733,6863,2306,2210,3063,6257,56617,3570,2116,4310,11305,6102,2352,3526,7513,4213,2634,2428,3397,53466,4592,1953,3279,8625,8021,4028,3000,6388,4435,3052,3478,2930,53781,5198,3671,3461,8508,6757,5117,3867,4441,4780,4263,2825,3784,56671,4642.66,4335.05,5992.02,7109.36,4972.36,5809.17,5028.97,3413.09,2675.27,3925.24,3836.92,3302.39,55042.5,3055.59,4100.43,7648.86,6854.62,3607.21,5704.16,5315.63,4693.4,2572.28,2516,3912.09,5148.52,55128.79,2837.91,2220.76,3491.89,7309.9,6560.67,4472.08,3434.27,5222.14,4071.2,2339.43,2988.46,2605.16,47553.88
Kabupaten Jember,2428,5580,29010,19558,7449,7057,22332,12246,4624,3873,5796,5182,125136,5812,4156,22737,26583,6752,5533,17353,17838,3847,3359,4167,5452,123591,5811,5287,7326,39295,10269,5432,8027,21985,6437,3620,4246,3869,121606,7195,3748,12915,35283,9150,6062,10534,19955,6424,3667,3703,5392,124028,6812.32,4286.86,15569.64,31794.58,9433.63,5545.26,9965.55,17142.36,6963.84,4659.24,2865.4,3450.57,118489.25,6906.74,6156.64,18994.89,27132.88,9209.97,8069.52,10069.11,16249.77,5200.75,5308.94,3260.54,3628.12,120187.87,5977.74,7058.58,10608.9,28316.86,14203.22,8846.91,6924.01,16919.04,9189.42,5378.94,3502.54,3143.25,120069.41
