Kabupaten/Kota Se Jawa Timur,Produksi Padi Menurut Kabupaten/Kota (Ton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,2019,,,,,,,,,,,,,2020,,,,,,,,,,,,,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,,2023,,,,,,,,,,,,,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kabupaten Pacitan,3113.91,9298.99,22928.59,12468.81,7102.87,9847.13,13351.29,5124.13,2533.14,1927.78,772.21,1215.59,89684.44,6714.19,12153.75,29977.89,14779.22,5124.43,5233.98,10507.29,4483.32,475.37,517.33,1488.96,485.93,91941.66,157.82,2748.34,3585.16,36544.03,12084.42,5084.02,5480.04,9975.33,2673.08,2507.78,1067.66,2033.22,83940.9,2359.12,16374.32,25093.73,8038.47,6590.39,9046.42,11213.13,1424.31,1712.19,1069.71,4548.93,645.85,88116.57,128.68,13351.15,28860.17,11659.81,5065.52,8810.05,11470.02,2806.76,2134.27,1779.26,3984.2,378.32,90428.21,1970.51,17220.75,25014.4,10312.46,2914.51,13100.51,9959.72,4590.77,1107.08,758.3,3584.29,2459.34,92992.64,321.31,226.47,10901.71,24184.8,16062.1,3167.94,2024.01,7074.23,2274.74,1048.04,376.7,1988.93,69650.98
Kabupaten Ponorogo,202.2,4092.37,84787.64,85947.48,1728.29,19686.87,91559.34,31102.38,5985.77,1291.15,7586.17,43293.52,377263.18,8211.96,4235.64,49222.47,95494.03,16975.96,7896.26,61478.44,48982.81,9070.65,1955.68,1460.41,17221.19,322205.5,28844.89,2127.05,22831.36,126555.79,23480.75,2963.54,62418.12,52926.2,11642.69,735.12,5781.16,37026.53,377333.2,20937.46,1471.52,55816.49,105539.58,14618.92,10796.11,85188.34,47732.97,6338.63,398.36,7216.93,48609.73,404665.04,7662.82,679.02,74834.92,73880.59,13114.83,14317.9,74823.45,36298.96,9197.29,412.1,10319.55,43872.34,359413.77,15005.61,706.23,84201.65,61226.25,21378.84,28498,62003.73,45004.26,14839.43,1633.69,10194.9,48301.49,392994.08,17192.11,923.34,41582.99,97544.06,26975.57,14438.98,47397.46,55669.54,25458.43,3247.33,7482.04,41333.06,379244.91
Kabupaten Trenggalek,97.07,2943.02,28681.52,21859.55,5343.73,2913.26,21422.51,13585.82,8319.57,6579.01,5353.82,3475.75,120574.63,2476.15,533.68,24288.42,27725.08,8197.32,1367.35,18971.71,14719.07,6846.35,4431.4,1254.98,1402.06,112213.57,791.3,1364.88,8047.35,30181.55,15715.76,3128.69,13281.07,11977.24,13331.6,2613.79,5634.54,2377.85,108445.62,3289.59,4877.49,20209.95,26974.16,3542.64,6394.21,22845.22,8802.36,2654.64,3871.61,7046.7,5947.77,116456.34,2862.67,726.16,28038.22,18316.05,5131.56,2751.17,23599.74,11482.39,3457.26,4389.65,8628.65,6374.49,115758.01,2787.78,3926.37,29959.07,16011.57,4375.01,3292.29,18609.33,16132.09,3727.68,2606.97,8638.02,4808.35,114874.53,1950.36,401.72,6494.4,27952.25,17497.94,6105.63,7190.48,20765.44,4453.95,5345.06,2882.99,3819.13,104859.35
Kabupaten Tulungagung,2210.32,11479.46,35537.57,65542.98,10914.95,6344.94,16147.51,40925.79,14358.72,6978.27,6035.56,408.55,216884.62,4610.19,2517.03,15875.9,49525.63,32536.31,7172.69,6483.37,36305.8,25987.45,7037.46,5453.04,2925.71,196430.58,5272.38,467.61,2897.05,44982.98,57332.97,15334.57,1248.75,16803.2,32241.42,31986.65,5256.44,574.11,214398.13,3176.82,21040.78,21846.71,55933.06,19781.03,14473.37,17635.51,33153.41,26320.94,13236.8,7239.09,4079.44,237916.96,11798.84,4578.55,23033.24,57337.95,15382.79,8553.07,14414.74,37918.48,10850.19,11263,7655.2,4431.21,207217.26,13878.91,9046.44,56803.12,31040.53,9592.47,10703.09,30482.44,31382.92,13242.54,10114.83,9791.24,9423.58,235502.11,7995.45,7469.06,4762.05,38892.89,42110.8,27817.51,7922.19,25597.26,16160.7,21073.99,11947.9,3070.97,214820.77
Kabupaten Blitar,2123.29,9013.42,38862.23,61519.8,32247.23,8911.26,19805.22,11956.61,11326.11,12842.01,6019.42,9552.03,224178.63,7160.03,5275.88,20283.15,69990.1,45601.73,14420.69,4479.15,11534.68,12903.84,17393.19,11483.51,3501.24,224027.19,1870.27,2730.98,12637.8,46673.67,53297.58,14064.84,5259.5,10509.89,20763.24,21814.36,6532.63,692.77,196847.53,10497.28,13122.46,27847.25,59112.91,47925.3,15518.55,14291.18,12907.61,14069.02,12376.19,9365.02,10333.5,247366.27,5895.45,6030.96,28149.61,76764.97,32865.16,7763.05,9165.88,10244.33,14799.84,13375.71,6949.56,3478.27,215482.79,6236.93,15391.9,44937.3,62121.93,20884.39,11921.23,14266.77,15025.81,11187.12,12197.22,13097,12956.81,240224.41,4000.31,3733.52,10188.78,33912.17,51445.49,17095.68,4675.76,6904.23,11959.52,10580.12,12210.44,4448,171154.02
Kabupaten Kediri,3391.66,12358.98,68788.9,34595,9261.07,12542.02,35752.48,13536.18,6343.24,6533.19,11487.45,5244.66,219834.83,7363.99,10754.81,65559.19,43303.7,7956.93,6320.49,38096.62,22075.46,4823.57,1980.86,8067.92,6534.28,222837.82,8536.85,6063.19,55726.05,56372.71,12634.62,5421.65,32666.34,17713.75,5318.86,4600.14,6485.08,4374.17,215913.41,5048.24,5712.86,54046.94,49110.37,6952.79,4258.15,33539.58,16184.12,4028.96,5480.41,4398.58,9461.01,198222.01,3982.84,6444.23,51324.93,40549.24,4447.09,4190.83,32404.48,8527.89,4829.49,905.44,6268.99,4978.1,168853.55,8415.53,6410.77,50887,37963.58,8589.61,9214.37,28386.24,11661.46,7517.03,4514.02,4934.13,5040.02,183533.76,4613.28,6863.24,35940.27,43962.98,10789.87,5172.9,23642.82,18307.1,7389.2,3892.17,5754.64,7743.73,174072.2
Kabupaten Malang,12267.24,11593.92,28946.68,55664.58,27351.58,27238.83,15560.16,22119.22,29991.31,20920.14,21286.76,15079.48,288019.9,20509.11,11416.22,21724.71,47780.37,36030.88,31549.23,17582.24,17445.05,26843.24,17450.11,18576.79,14164.31,281072.26,19687.31,12929.94,16296.26,26997.73,45943.72,36566.85,18664.26,20864.05,22100.15,23719.8,17813.11,12806.64,274389.82,16774.25,19447.32,28799.36,40596.83,27393.78,24282.68,29843.72,27731.94,13416.69,18229.67,13864.58,12977.79,273358.61,26206.97,10378.24,31248.4,42413.56,30193.41,21052.72,21043,19820.58,17482.64,18584.99,16926.94,16255.33,271606.78,19480.42,10412.11,44844.59,36961.54,27504.44,25265.81,23177.8,15335.19,21909.05,22216.84,18155.59,14102.53,279365.91,18784.59,10053.4,13639.15,23956.37,39240.68,40303.9,27318.54,13516.88,11616.02,20183.79,20588.58,15591.82,254793.72
Kabupaten Lumajang,12003.15,17676.5,40959.73,50655.28,27033.08,19094.26,32128.64,38502.16,12114.68,11610.27,16089.82,32869.25,310736.82,19131.24,11339.24,23096.22,60579.46,32167.38,12401.87,18567.33,39596.37,22284.34,13936.79,12834.7,17959.28,283894.22,24849.94,10569.43,17740.79,46662.41,41602.08,20889.57,15563.06,33169.17,25433.13,17466.2,19949.68,16792.75,290688.21,26504.42,18700.53,17623.87,43349.94,34869.73,26434.92,19935.8,22916.47,25874.17,23075.44,15297.66,20492.57,295075.52,25843.22,24130.7,33313.22,39020.58,26150.05,30555.16,26449.33,17948.05,15068.96,22117.27,21622.65,18609.82,300829.01,17374.42,23227.76,43359.1,38600.12,19698.68,31116.16,29020.53,25619.62,14662.07,14336.35,22294.89,29336.38,308646.08,15245.06,11931.89,18735.4,39259.49,35045.14,23910.3,18379.41,27981.16,22592.93,12990.92,16588.7,14460.25,257120.65
Kabupaten Jember,13853.52,31838.6,165472.05,111530.26,40754.12,38624.65,122318.78,67076.15,23113.48,19357.78,28968.2,25901.76,688809.35,29468.15,21073.97,115230.9,134786.68,32701.75,26713.72,84094.99,86490.26,19733.38,17230.71,21370.6,27963.3,616858.41,29029.62,26409.82,36596.59,196286.86,47264.43,24994.79,36935.86,101188.94,32432.49,18238.87,21390.09,19495.01,590263.37,36210.9,18863.96,64984.91,177542.27,44381.16,29393.99,51095.72,96814.82,32280.15,18427.65,18608.02,27094.32,615697.87,35404.42,22279.31,80842.89,165118.25,47605.94,27983.74,50290.03,86506.89,35457.58,23723.25,14589.77,17569.12,607371.19,34925.84,31132.97,95937.54,137142.62,47046.27,41220.51,51435.82,83008.54,28360.42,28950.4,17780.19,19784.65,616725.77,32137.3,37948.27,57034.31,152124.69,71085.24,44278.07,34662.48,84699.05,47343.97,27712.36,18045.13,16194.01,623264.88
